ASV,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_26,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_52,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_59,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_68,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_94,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_138,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_197,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_145,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,,,
ASV_34,d__Eukaryota,p__Arthropoda,c__Insecta,o__Coleoptera,f__Elateridae,g__Conoderus,s__Conoderus pallipes
ASV_4,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Platystomatidae,g__Scholastes,s__Scholastes lonchifer
ASV_50,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Platystomatidae,g__Scholastes,s__Scholastes lonchifer
ASV_65,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Platystomatidae,g__Scholastes,s__Scholastes lonchifer
ASV_113,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,,,
ASV_96,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Limoniidae,,
ASV_163,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Linepithema,s__Linepithema humile
ASV_177,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hemiptera,,,
ASV_194,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hemiptera,,,
ASV_155,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hemiptera,,,s__Hemiptera sp. BIOUG03439-H02
ASV_5,d__Eukaryota,p__Arthropoda,c__Insecta,o__Dermaptera,f__Anisolabididae,g__Anisolabis,
ASV_15,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_20,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_27,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_47,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_95,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_106,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_117,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_147,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_169,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_48,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,f__Blaberidae,g__Diploptera,s__Diploptera punctata
ASV_21,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,f__Ectobiidae,,
ASV_121,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,f__Ectobiidae,,
ASV_18,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,f__Blattidae,g__Periplaneta,
ASV_93,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,f__Blattidae,g__Periplaneta,
ASV_77,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_150,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_6,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_19,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_33,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_85,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_154,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_76,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Mogoplistidae,g__Ornebius,s__Ornebius novarae
ASV_80,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Mogoplistidae,g__Ornebius,s__Ornebius novarae
ASV_156,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Mogoplistidae,g__Ornebius,s__Ornebius novarae
ASV_97,d__Eukaryota,p__Arthropoda,c__Insecta,o__Odonata,f__Libellulidae,g__Pantala,s__Pantala flavescens
