Query ID,Best ID,Search DB,Top %,Low %
Zotu1034,Orthoptera,COI FULL DATABASE (includes records without species designation),99.52,85.71
Zotu1035,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1036,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1037,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1038,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1039,Conocephalus saltator,COI FULL DATABASE (includes records without species designation),100,85.44
Zotu1040,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1041,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1042,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1043,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1044,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1045,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1046,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1047,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1048,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1049,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1050,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1051,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1052,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1053,Microstromatales,COI FULL DATABASE (includes records without species designation),99.68,77.12
Zotu1054,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1055,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1056,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1057,Orthoptera,COI FULL DATABASE (includes records without species designation),98.06,86.11
Zotu1058,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1059,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1060,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1061,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1062,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1063,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1064,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1065,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1066,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1067,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1068,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1069,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1070,Dermatophagoides farinae,COI FULL DATABASE (includes records without species designation),100,86.73
Zotu1071,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1072,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1073,Dermaptera,COI FULL DATABASE (includes records without species designation),97.87,86.27
Zotu1074,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1075,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1076,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1077,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1078,Araneae,COI FULL DATABASE (includes records without species designation),99.63,82.2
Zotu1079,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1080,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),98.63,83.51
Zotu1081,Liposcelis bostrychophila,COI FULL DATABASE (includes records without species designation),100,79.61
Zotu1082,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1083,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1084,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1085,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1086,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1087,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1088,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1089,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1090,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1091,Gaurax bicoloripes,COI FULL DATABASE (includes records without species designation),100,93.85
Zotu1092,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1093,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1094,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1095,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1096,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1097,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1098,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1099,Araneae,COI FULL DATABASE (includes records without species designation),99.33,82.85
Zotu1100,Araneae,COI FULL DATABASE (includes records without species designation),100,82.52
