Query ID,Best ID,Search DB,Top %,Low %
Zotu240,No match,COI FULL DATABASE (includes records without species designation),,
Zotu241,No match,COI FULL DATABASE (includes records without species designation),,
Zotu242,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.44
Zotu243,No match,COI FULL DATABASE (includes records without species designation),,
Zotu244,No match,COI FULL DATABASE (includes records without species designation),,
Zotu245,No match,COI FULL DATABASE (includes records without species designation),,
Zotu246,No match,COI FULL DATABASE (includes records without species designation),,
Zotu247,No match,COI FULL DATABASE (includes records without species designation),,
Zotu248,No match,COI FULL DATABASE (includes records without species designation),,
Zotu249,No match,COI FULL DATABASE (includes records without species designation),,
Zotu250,No match,COI FULL DATABASE (includes records without species designation),,
Zotu251,No match,COI FULL DATABASE (includes records without species designation),,
Zotu252,No match,COI FULL DATABASE (includes records without species designation),,
Zotu253,Coleoptera,COI FULL DATABASE (includes records without species designation),100,85.14
Zotu254,No match,COI FULL DATABASE (includes records without species designation),,
Zotu255,No match,COI FULL DATABASE (includes records without species designation),,
Zotu256,No match,COI FULL DATABASE (includes records without species designation),,
Zotu257,No match,COI FULL DATABASE (includes records without species designation),,
Zotu258,Diptera,COI FULL DATABASE (includes records without species designation),97.41,93.33
Zotu259,No match,COI FULL DATABASE (includes records without species designation),,
Zotu260,No match,COI FULL DATABASE (includes records without species designation),,
Zotu261,No match,COI FULL DATABASE (includes records without species designation),,
Zotu262,No match,COI FULL DATABASE (includes records without species designation),,
Zotu263,Orthoptera,COI FULL DATABASE (includes records without species designation),97.41,86.89
Zotu264,No match,COI FULL DATABASE (includes records without species designation),,
Zotu265,No match,COI FULL DATABASE (includes records without species designation),,
Zotu266,No match,COI FULL DATABASE (includes records without species designation),,
Zotu267,Neurospora crassa,COI FULL DATABASE (includes records without species designation),97.41,84.04
Zotu268,Dermaptera,COI FULL DATABASE (includes records without species designation),97.19,85.44
Zotu269,No match,COI FULL DATABASE (includes records without species designation),,
Zotu270,Lepidoptera,COI FULL DATABASE (includes records without species designation),100,92.56
Zotu271,No match,COI FULL DATABASE (includes records without species designation),,
Zotu272,No match,COI FULL DATABASE (includes records without species designation),,
Zotu273,No match,COI FULL DATABASE (includes records without species designation),,
Zotu274,Selenothrips rubrocinctus,COI FULL DATABASE (includes records without species designation),100,78.76
Zotu275,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.76
Zotu276,No match,COI FULL DATABASE (includes records without species designation),,
Zotu277,No match,COI FULL DATABASE (includes records without species designation),,
Zotu278,No match,COI FULL DATABASE (includes records without species designation),,
Zotu279,No match,COI FULL DATABASE (includes records without species designation),,
Zotu280,No match,COI FULL DATABASE (includes records without species designation),,
Zotu281,No match,COI FULL DATABASE (includes records without species designation),,
Zotu282,No match,COI FULL DATABASE (includes records without species designation),,
Zotu283,Bradysia ocellaris,COI FULL DATABASE (includes records without species designation),100,94.61
Zotu284,No match,COI FULL DATABASE (includes records without species designation),,
Zotu285,Orthoptera,COI FULL DATABASE (includes records without species designation),97.73,85.76
Zotu286,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.71
Zotu287,No match,COI FULL DATABASE (includes records without species designation),,
Zotu288,No match,COI FULL DATABASE (includes records without species designation),,
Zotu289,No match,COI FULL DATABASE (includes records without species designation),,
Zotu290,No match,COI FULL DATABASE (includes records without species designation),,
Zotu291,No match,COI FULL DATABASE (includes records without species designation),,
Zotu292,No match,COI FULL DATABASE (includes records without species designation),,
Zotu293,No match,COI FULL DATABASE (includes records without species designation),,
Zotu294,No match,COI FULL DATABASE (includes records without species designation),,
Zotu295,No match,COI FULL DATABASE (includes records without species designation),,
Zotu296,No match,COI FULL DATABASE (includes records without species designation),,
Zotu297,No match,COI FULL DATABASE (includes records without species designation),,
Zotu298,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.76
Zotu299,No match,COI FULL DATABASE (includes records without species designation),,
Zotu300,Dermaptera,COI FULL DATABASE (includes records without species designation),98.25,86.08
