"","ASV","ID_bold","Search.DB","Top..","Low..","X","X.1"
"56","ASV_87","Orthoptera","COI FULL DATABASE (includes records without species designation)",100,84.21,NA,NA
"57","ASV_91","Periplaneta australasiae","COI FULL DATABASE (includes records without species designation)",100,92.23,NA,NA
"58","ASV_93","Araneae","COI FULL DATABASE (includes records without species designation)",98.99,85.44,NA,NA
"59","ASV_94","Hasarius adansoni","COI FULL DATABASE (includes records without species designation)",100,89.64,NA,NA
"60","ASV_95","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",100,81.55,NA,NA
"61","ASV_96","Entomobryomorpha","COI FULL DATABASE (includes records without species designation)",99.02,94.12,NA,NA
"62","ASV_97","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.3,85.11,NA,NA
"63","ASV_98","Mus musculus","COI FULL DATABASE (includes records without species designation)",99.64,99.03,NA,NA
"64","ASV_100","Entomobryomorpha","COI FULL DATABASE (includes records without species designation)",99.01,81.89,NA,NA
"65","ASV_102","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.27,96.76
"66","ASV_108","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.95,85.76
"67","ASV_110","Wolbachia endosymbiont","COI FULL DATABASE (includes records without species designation)",NA,NA,97.53,88.89
"68","ASV_113","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,97.73,90.43
"69","ASV_115","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",NA,NA,100,81.94
"70","ASV_116","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.19
"71","ASV_117","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,98.71,90.57
"72","ASV_120","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,98.65,85.11
"73","ASV_122","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.52
"74","ASV_123","Arthropoda Arachnida ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,82.03
"75","ASV_124","2012","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.6
"76","ASV_125","Pycnoscelus sp. B103","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.73
"77","ASV_126","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.95,85.44
"78","ASV_127","Psocodea","COI FULL DATABASE (includes records without species designation)",NA,NA,100,80.78
"79","ASV_131","Penicillium citrinum","COI FULL DATABASE (includes records without species designation)",NA,NA,98.31,94.92
"80","ASV_132","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.94
"81","ASV_138","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.54,85.44
"82","ASV_140","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.89,85.44
"83","ASV_142","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.6
"84","ASV_145","Basidiomycota Insecta ","COI FULL DATABASE (includes records without species designation)",NA,NA,98.45,76.98
"85","ASV_147","Psocodea","COI FULL DATABASE (includes records without species designation)",NA,NA,100,81.23
"86","ASV_148","Blattodea","COI FULL DATABASE (includes records without species designation)",NA,NA,100,84.57
"87","ASV_149","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,97.73,89.64
"88","ASV_150","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.11
"89","ASV_155","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.53
"90","ASV_156","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,91.19
"91","ASV_162","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.19,85.76
"92","ASV_164","Lepidopsocus marmoratus","COI FULL DATABASE (includes records without species designation)",NA,NA,100,87.18
"93","ASV_165","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.51
"94","ASV_170","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.18,85.39
"95","ASV_173","Siphunculina striolata","COI FULL DATABASE (includes records without species designation)",NA,NA,100,91.59
"96","ASV_175","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.25,85.76
"97","ASV_179","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,83.41
"98","ASV_180","Scholastes lonchifer","COI FULL DATABASE (includes records without species designation)",NA,NA,100,88.45
"99","ASV_181","Diploptera punctata","COI FULL DATABASE (includes records without species designation)",NA,NA,100,82.52
"100","ASV_183","Pycnoscelus surinamensis","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.21
"101","ASV_186","Symphypleona","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,81.94
"102","ASV_188","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.95,85.76
"103","ASV_190","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.53
"104","ASV_191","Blattodea","COI FULL DATABASE (includes records without species designation)",NA,NA,100,84.57
"105","ASV_195","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.19,85.44
"106","ASV_197","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.29,85.29
"107","ASV_198","Proteobacteria Insecta ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,98.8
"108","ASV_201","2012","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,89.97
"109","ASV_202","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,98.77,90.8
"110","ASV_204","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.89,85.98
"111","ASV_205","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.94,85.39
"112","ASV_206","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,97.09
"113","ASV_208","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.65,85.45
"114","ASV_211","Agonoxena argaula","COI FULL DATABASE (includes records without species designation)",NA,NA,100,89.32
"115","ASV_217","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.53
"116","ASV_219","Hemiptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.6,85.37
"117","ASV_224","Neurospora crassa","COI FULL DATABASE (includes records without species designation)",NA,NA,97.41,84.04
"118","ASV_225","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.33,85.39
"119","ASV_230","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.6
"120","ASV_235","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.76
"121","ASV_236","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.14,87.7
"122","ASV_238","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.89,85.76
"123","ASV_240","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"124","ASV_243","Scholastes lonchifer","COI FULL DATABASE (includes records without species designation)",NA,NA,99.34,87.94
"125","ASV_245","Bradysia ocellaris","COI FULL DATABASE (includes records without species designation)",NA,NA,100,94.61
"126","ASV_246","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.6,85.11
"127","ASV_251","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",NA,NA,100,81.55
"128","ASV_252","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.19,85.44
"129","ASV_253","Scytodes longipes","COI FULL DATABASE (includes records without species designation)",NA,NA,98.06,84.79
"130","ASV_257","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,99.68
"131","ASV_258","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.63,96.76
"132","ASV_259","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.83
"133","ASV_260","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.6,85.11
"134","ASV_264","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.33,85.52
"135","ASV_271","Lepidodactylus lugubris","COI FULL DATABASE (includes records without species designation)",NA,NA,100,81.25
"136","ASV_276","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.44
"137","ASV_277","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.54,85.76
"138","ASV_282","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.44
"139","ASV_284","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.38,90.2
"140","ASV_286","2012","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.29
"141","ASV_288","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.6,86.08
"142","ASV_289","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.44
"143","ASV_290","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.54,85.44
"144","ASV_293","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,86.08
"145","ASV_294","Nylanderia vividula","COI FULL DATABASE (includes records without species designation)",NA,NA,100,91.45
"146","ASV_297","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.59
"147","ASV_298","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.41,93.33
"148","ASV_299","Basidiomycota Insecta ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,77.12
"149","ASV_303","Dactylosternum abdominale","COI FULL DATABASE (includes records without species designation)",98.71,83.82,NA,NA
"150","ASV_305","Dermaptera","COI FULL DATABASE (includes records without species designation)",97.54,85.76,NA,NA
"151","ASV_306","Coleoptera","COI FULL DATABASE (includes records without species designation)",100,85.14,NA,NA
"152","ASV_309","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",99.67,81.7,NA,NA
"153","ASV_313","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",99.67,81.69,NA,NA
"154","ASV_315","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.65,85.76,NA,NA
"155","ASV_317","Dermaptera","COI FULL DATABASE (includes records without species designation)",98.95,85.44,NA,NA
"156","ASV_318","Mus musculus","COI FULL DATABASE (includes records without species designation)",99.64,99.03,NA,NA
"157","ASV_319","Lepidoptera","COI FULL DATABASE (includes records without species designation)",100,92.56,NA,NA
"158","ASV_320","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.3,84.97,NA,NA
"159","ASV_322","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",100,97.41,NA,NA
"160","ASV_326","Selenothrips rubrocinctus","COI FULL DATABASE (includes records without species designation)",100,78.76,NA,NA
"161","ASV_330","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",100,81.94,NA,NA
"162","ASV_331","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",99.68,81.23,NA,NA
"163","ASV_332","Orthoptera","COI FULL DATABASE (includes records without species designation)",100,85.76,NA,NA
"164","ASV_333","Orthoptera","COI FULL DATABASE (includes records without species designation)",99.68,83.94,NA,NA
"165","ASV_334","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",100,90.69,NA,NA
"166","ASV_338","Dermaptera","COI FULL DATABASE (includes records without species designation)",98.25,86.04,NA,NA
"167","ASV_343","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.65,85.44,NA,NA
"168","ASV_346","Mus musculus","COI FULL DATABASE (includes records without species designation)",100,99.03,NA,NA
"169","ASV_355","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.3,85.44,NA,NA
"170","ASV_359","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",100,90.94,NA,NA
"171","ASV_361","Proteobacteria Arachnida ","COI FULL DATABASE (includes records without species designation)",99.37,98.39,NA,NA
"172","ASV_367","Araneae","COI FULL DATABASE (includes records without species designation)",99.33,84.85,NA,NA
"173","ASV_368","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.3,85.44,NA,NA
"174","ASV_369","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.3,85.76,NA,NA
"175","ASV_370","Lepidoptera","COI FULL DATABASE (includes records without species designation)",99.68,89.64,NA,NA
"176","ASV_371","Erechthias simulans","COI FULL DATABASE (includes records without species designation)",100,89.64,NA,NA
"177","ASV_380","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.3,85.44,NA,NA
"178","ASV_384","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.3,85.44,NA,NA
"179","ASV_390","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.65,86.08,NA,NA
"180","ASV_391","Dermaptera","COI FULL DATABASE (includes records without species designation)",99.29,85.9,NA,NA
"181","ASV_392","Platnickina mneon","COI FULL DATABASE (includes records without species designation)",99.68,89.64,NA,NA
"182","ASV_400","Diptera","COI FULL DATABASE (includes records without species designation)",100,90.3,NA,NA
"183","ASV_403","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,90.12
"184","ASV_406","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.44
"185","ASV_411","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.58
"186","ASV_414","Proteobacteria Arachnida ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,98.8
"187","ASV_417","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"188","ASV_419","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.11
"189","ASV_423","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,98.88,82.03
"190","ASV_425","Cephalochrysa maxima","COI FULL DATABASE (includes records without species designation)",NA,NA,100,88.35
"191","ASV_433","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.65,85.51
"192","ASV_436","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.63,97.09
"193","ASV_441","Lamprolonchaea metatarsata","COI FULL DATABASE (includes records without species designation)",NA,NA,100,95.1
"194","ASV_442","Conoderus pallipes","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,87.55
"195","ASV_448","Agonoxena argaula","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,89.64
"196","ASV_450","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.17,83.72
"197","ASV_452","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,89.96
"198","ASV_453","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.11
"199","ASV_455","Coleoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,85.76
"200","ASV_458","Conoderus pallipes","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,86.75
"201","ASV_463","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.94
"202","ASV_466","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.44
"203","ASV_468","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.1,86.73
"204","ASV_469","Ectopsocus sp.","COI FULL DATABASE (includes records without species designation)",NA,NA,100,84.95
"205","ASV_474","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.44
"206","ASV_475","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,90.12
"207","ASV_480","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.53
"208","ASV_481","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.38,90.12
"209","ASV_485","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.57,96.76
"210","ASV_486","Scholastes lonchifer","COI FULL DATABASE (includes records without species designation)",NA,NA,99.67,88.37
"211","ASV_488","Liriomyza sativae","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"212","ASV_495","Pantala flavescens","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,98.71
"213","ASV_496","Proteobacteria Insecta ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,98.8
"214","ASV_498","Pycnoscelus indicus","COI FULL DATABASE (includes records without species designation)",NA,NA,97.41,86.08
"215","ASV_501","Platnickina mneon","COI FULL DATABASE (includes records without species designation)",NA,NA,100,89.97
"216","ASV_504","Piletocera signiferalis","COI FULL DATABASE (includes records without species designation)",NA,NA,100,92.88
"217","ASV_505","Proteobacteria Insecta ","COI FULL DATABASE (includes records without species designation)",NA,NA,99.37,98.39
"218","ASV_507","Isopoda","COI FULL DATABASE (includes records without species designation)",NA,NA,100,80.07
"219","ASV_509","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.44
"220","ASV_511","Saccharomyces cerevisiae YJM1527","COI FULL DATABASE (includes records without species designation)",NA,NA,100,93.85
"221","ASV_512","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.03,90.29
"222","ASV_513","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.89,85.76
"223","ASV_515","Pheidole megacephala","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"224","ASV_516","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,98.08
"225","ASV_518","Proteobacteria Insecta ","COI FULL DATABASE (includes records without species designation)",NA,NA,99.37,98.38
"226","ASV_523","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"227","ASV_525","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.11
"228","ASV_526","Wolbachia endosymbiont of Formicidae","COI FULL DATABASE (includes records without species designation)",NA,NA,100,97.71
"229","ASV_527","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.11
"230","ASV_541","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"231","ASV_543","Lepidoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,89.97
"232","ASV_550","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,97.89,86.08
"233","ASV_551","Orthoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.35,85.27
"234","ASV_552","Psocodea","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"235","ASV_562","Scholastes lonchifer","COI FULL DATABASE (includes records without species designation)",NA,NA,100,88.45
"236","ASV_566","Coleoptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.04,85.95
"237","ASV_569","Scholastes lonchifer","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,88.02
"238","ASV_573","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,100,90.95
"239","ASV_579","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,90.53
"240","ASV_581","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.58,85.29
"241","ASV_583","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.44
"242","ASV_587","Heteropoda venatoria","COI FULL DATABASE (includes records without species designation)",NA,NA,98.06,90
"243","ASV_588","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.95,85.11
"244","ASV_598","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.22
"245","ASV_599","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.94,85.95
"246","ASV_603","Proteobacteria  ","COI FULL DATABASE (includes records without species designation)",NA,NA,100,98.78
"247","ASV_606","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.11
"248","ASV_607","Nylanderia bourbonica","COI FULL DATABASE (includes records without species designation)",NA,NA,99.68,98.38
"249","ASV_608","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.93,85.57
"250","ASV_609","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"251","ASV_615","Smeringopus pallidus","COI FULL DATABASE (includes records without species designation)",NA,NA,100,81.55
"252","ASV_618","Theridion melanostictum","COI FULL DATABASE (includes records without species designation)",NA,NA,99.18,91.26
"253","ASV_619","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.33,84.79
"254","ASV_627","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.11
"255","ASV_628","Pheidole megacephala","COI FULL DATABASE (includes records without species designation)",NA,NA,100,100
"256","ASV_634","Dermaptera","COI FULL DATABASE (includes records without species designation)",NA,NA,99.3,85.11
"257","ASV_637","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.19
"258","ASV_639","Psocodea","COI FULL DATABASE (includes records without species designation)",NA,NA,100,87.7
"259","ASV_642","Rhodotorula taiwanensis RS1","COI FULL DATABASE (includes records without species designation)",NA,NA,97.73,76.29
"260","ASV_643","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"261","ASV_649","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.11
"262","ASV_654","Periplaneta australasiae","COI FULL DATABASE (includes records without species designation)",NA,NA,97.41,90.94
"263","ASV_658","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,98.04,85.29
"264","ASV_663","Echmepteryx madagascariensis","COI FULL DATABASE (includes records without species designation)",NA,NA,100,85.88
"265","ASV_664","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,97.31,84.47
"266","ASV_674","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,97.31,85.11
"267","ASV_675","Araneae","COI FULL DATABASE (includes records without species designation)",NA,NA,99.66,85.44
"268","ASV_676","Entomobryomorpha","COI FULL DATABASE (includes records without species designation)",NA,NA,98.75,93.79
"269","ASV_677","Nylanderia sp. CHR01","COI FULL DATABASE (includes records without species designation)",NA,NA,100,91.59
"270","ASV_681","Styringomyia didyma","COI FULL DATABASE (includes records without species designation)",NA,NA,100,91.76
"271","ASV_682","2017","COI FULL DATABASE (includes records without species designation)",NA,NA,97.03,85.76
"272","ASV_687","Diptera","COI FULL DATABASE (includes records without species designation)",NA,NA,100,80.58
"273","ASV_690","Mus musculus","COI FULL DATABASE (includes records without species designation)",NA,NA,99.64,99.03
"274","ASV_692","Neoscona theisi","COI FULL DATABASE (includes records without species designation)",NA,NA,99.27,96.76
