"","food.web","interaction","consumer","resource","mass","Genus","Family","Order","Class","Phylum","Kingdom","sp"
"75",48,1,1082,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"76",1,1,1084,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"77",7,1,1084,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"78",48,1,1085,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"79",48,1,1087,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"80",48,1,1095,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"81",48,1,1111,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"82",48,1,1112,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"83",7,1,1114,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"84",1,1,1120,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"85",48,1,1123,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"86",48,1,1124,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"87",48,1,1213,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"88",48,1,1219,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"89",7,1,1226,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"90",48,1,1226,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"91",1,1,1233,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"92",10,1,1235,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"93",1,1,1241,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"94",26,1,724,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"95",18,1,724,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"96",10,1,1247,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"97",14,1,1247,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"98",7,1,1302,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"99",10,1,1307,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"100",7,1,1308,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"101",10,1,1309,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"102",7,1,1317,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"103",1,1,1317,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"104",10,1,1325,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"105",7,1,734,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"106",18,1,735,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"107",26,1,735,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"108",7,1,735,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"109",48,1,1353,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"110",14,1,1356,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"111",18,1,1357,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"112",10,1,1357,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"113",26,1,1358,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"114",26,1,736,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"115",7,1,736,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"116",7,1,737,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"117",48,1,1370,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"118",18,1,1371,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"119",7,1,1372,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"120",48,1,1394,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"121",10,1,1394,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"122",14,1,1394,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"123",7,1,1394,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"124",7,1,1396,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"125",1,1,1396,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"126",14,1,1399,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"127",1,1,1479,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"128",18,1,1544,666,0.010170915,"Allacma","Sminthuridae","Symphypleona","Collembola","Arthropoda","Animalia","Allacma fusca"
"129",17,1,800,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"130",29,1,863,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"131",29,1,866,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"132",29,1,873,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"133",17,1,879,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"134",29,1,880,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"135",29,1,895,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"136",29,1,900,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"137",29,1,916,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"138",29,1,921,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"139",29,1,923,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"140",29,1,924,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"141",17,1,924,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"142",17,1,925,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"143",17,1,926,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"144",17,1,927,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"145",29,1,927,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"146",29,1,735,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"147",17,1,1357,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"148",29,1,1357,675,0.005103613,"Deuterosminthurus","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","Deuterosminthurus pallipes"
"149",24,1,765,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"150",14,1,765,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"151",14,1,825,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"152",24,1,825,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"153",24,1,847,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"154",14,1,847,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"155",24,1,1198,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"156",24,1,723,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"157",24,1,730,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"158",14,1,732,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"159",14,1,738,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"160",24,1,738,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"161",24,1,739,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"162",24,1,742,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"163",24,1,744,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"164",14,1,744,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"165",24,1,1462,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"166",14,1,1465,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"167",14,1,1488,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"168",24,1,1513,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"169",24,1,1516,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"170",24,1,1518,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"171",24,1,1521,765,7.418932388,"Trechus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia","Trechus sp. (juv)"
"172",25,1,801,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"173",11,1,804,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"174",1,1,804,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"175",25,1,804,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"176",8,1,809,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"177",25,1,810,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"178",21,1,811,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"179",1,1,811,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"180",32,1,814,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"181",32,1,815,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"182",31,1,815,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"183",22,1,815,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"184",22,1,820,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"185",1,1,821,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"186",22,1,821,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"187",1,1,822,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"188",16,1,823,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"189",29,1,823,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"190",31,1,824,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"191",32,1,824,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"192",16,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"193",29,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"194",8,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"195",25,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"196",22,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"197",11,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"198",21,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"199",31,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"200",1,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"201",32,1,825,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"202",25,1,826,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"203",25,1,828,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"204",21,1,829,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"205",23,1,829,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"206",32,1,829,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"207",23,1,830,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"208",23,1,831,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"209",31,1,831,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"210",22,1,831,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
"211",32,1,831,766,1.385543185,"Nargus","Catopidae","Coleoptera","Insecta","Arthropoda","Animalia","Nargus anisotomoides"
