Link ID,Link reference ,Body size reference,Geographic location,General habitat,Specific habitat,Link methodology,Body size methodology,Taxonomy consumer,Lifestage consumer,Common name(s) consumer,Metabolic category consumer,Type of feeding interaction,Minimum length (m) consumer,Mean length (m) consumer,Maximum length (m) consumer,Minimum mass (g) consumer,Mean mass (g) consumer,Maximum mass (g) consumer,Taxonomy resource,taxon_Family,taxon_Order,Lifestage - resource,Common name(s) resource,Metabolic category resource,Minimum length (m) resource,Mean length (m) resource,Maximum length (m) resource,Minimum mass (g) resource,Mean mass (g) resource,Maximum mass (g) resource,Consumer/resource body mass ratio,Notes
2209,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Exochomus quadripustulatus,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.004,-999,-999,-999,-999,Acyrthosiphon spartii ,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,6.147500725,-9.99E+02
2208,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Exochomus quadripustulatus,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.004,-999,-999,-999,-999,Aphis sarathamni,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,2.85551218,-9.99E+02
2207,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Forficula auricularia,-999,Dermaptera,invertebrate,predacious,-999,0.0115,-999,-999,-999,-999,Acyrthosiphon spartii,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,97.79795038,-9.99E+02
2206,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Forficula auricularia,-999,Dermaptera,invertebrate,predacious,-999,0.0115,-999,-999,-999,-999,Aphis sarathamni,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,45.42711761,-9.99E+02
2242,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Fringilla coelebs,-999,Bird,endotherm vertebrate,predacious,-999,0.1525,-999,-999,-999,-999,Acyrthosiphon spartii,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,57229.84231,-9.99E+02
2241,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Fringilla coelebs,-999,Bird,endotherm vertebrate,predacious,-999,0.1525,-999,-999,-999,-999,Aphis sarathamni,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,26583.244,-9.99E+02
2176,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Heterocordylus tibialis,-999,Hemiptera,invertebrate,predacious,-999,0.00495,-999,-999,-999,-999,Acyrthosiphon spartii,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,10.74402555,-9.99E+02
2175,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Heterocordylus tibialis,-999,Hemiptera,invertebrate,predacious,-999,0.00495,-999,-999,-999,-999,Aphis sarathamni ,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,4.990596536,-9.99E+02
2238,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Parus caeruleus,-999,Bird,endotherm vertebrate,predacious,-999,0.115,-999,-999,-999,-999,Acyrthosiphon spartii,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,26410.41711,-9.99E+02
2237,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Parus caeruleus,-999,Bird,endotherm vertebrate,predacious,-999,0.115,-999,-999,-999,-999,Aphis sarathamni,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,12267.63055,-9.99E+02
2185,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Propylea quatuordecimpunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.004,-999,-999,-999,-999,Aphis sarathamni ,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.00268,-999,-999,-999,-999,2.85551218,-9.99E+02
2186,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Propylea quatuordecimpunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.004,-999,-999,-999,-999,Acyrthosiphon spartii ,Aphididae,Hemiptera,-999,Homoptera,invertebrate,-999,0.002,-999,-999,-999,-999,6.147500725,-9.99E+02
2149,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Habrocytus sequester,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00219,-999,-999,-999,-999,Apion fuscirostre,Brentidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.00222,-999,-999,-999,-999,0.964981057,-9.99E+02
2148,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Microctonus aethiops/secalis,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00208,-999,-999,-999,-999,Apion immune,Brentidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.00245,-999,-999,-999,-999,0.651194609,-9.99E+02
2171,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Abax parellelopipedus C,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0185,-999,-999,-999,-999,Phytodecta olivacea,Chrysomelidae,Coleoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.0039,-999,-999,-999,-999,59.07458209,-9.99E+02
2219,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anthocoris sarothamni,-999,Hemiptera,invertebrate,predacious,-999,0.00365,-999,-999,-999,-999,Phytodecta olivacea,Chrysomelidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0039,-999,-999,-999,-999,0.840655453,-9.99E+02
2227,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Aystis baccarum,-999,"Acarina, mite",invertebrate,predacious,-999,0.00105,-999,-999,-999,-999,Bruchidius ater,Chrysomelidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.00278,-999,-999,-999,-999,0.07800431,-9.99E+02
2225,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Aystis baccarum,-999,"Acarina, mite",invertebrate,predacious,-999,0.00105,-999,-999,-999,-999,Phytodecta olivacea,Chrysomelidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0039,-999,-999,-999,-999,0.032131181,-9.99E+02
2230,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Beauveria bassiana,-999,Fungi,heterotrophic fungi,pathogen,-999,0.0000025,-999,-999,-999,-999,Phytodecta olivacea,Chrysomelidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0039,-999,-999,-999,-999,3.69E-18,-9.99E+02
2202,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Forficula auricularia,-999,Dermaptera,invertebrate,predacious,-999,0.0115,-999,-999,-999,-999,Phytodecta olivacea,Chrysomelidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0039,-999,-999,-999,-999,16.99961443,-9.99E+02
2150,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Habrocytus sequester,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00219,-999,-999,-999,-999,Bruchidius ater,Chrysomelidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.00278,-999,-999,-999,-999,0.535261757,-9.99E+02
2201,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Harpulus rubripes,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0095,-999,-999,-999,-999,Phytodecta olivacea,Chrysomelidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0039,-999,-999,-999,-999,10.30496629,-9.99E+02
2172,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Heterocordylus tibialis,-999,Hemiptera,invertebrate,predacious,-999,0.00495,-999,-999,-999,-999,Phytodecta olivacea,Chrysomelidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0039,-999,-999,-999,-999,1.867567686,-9.99E+02
2177,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Xysticus cristatus,-999,Aranea predator,invertebrate,predacious,-999,0.006,-999,-999,-999,-999,Phytodecta olivacea,Chrysomelidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0039,-999,-999,-999,-999,3.091484017,-9.99E+02
2170,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Abax parellelopipedus C,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0185,-999,-999,-999,-999,Sitona regensteinensis,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0045,-999,-999,-999,-999,40.6044042,-9.99E+02
2229,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Beauveria bassiana,-999,Fungi,heterotrophic fungi,pathogen,-999,0.0000025,-999,-999,-999,-999,Sitona regensteinensis,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0045,-999,-999,-999,-999,2.53E-18,-9.99E+02
2155,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Centistes excrucians,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00225,-999,-999,-999,-999,Sitona regensteinensis,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0045,-999,-999,-999,-999,0.162667732,-9.99E+02
2154,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Cheiropachys colon,-999,Hymenoptera,invertebrate,parasitoid,-999,0.0031,-999,-999,-999,-999,Phoeophthorus rhododactylus,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0016,-999,-999,-999,-999,5.65683203,-9.99E+02
2151,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Dinotiscus bidentulus,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00363,-999,-999,-999,-999,Halystinus obscurus,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0015,-999,-999,-999,-999,10.12969243,-9.99E+02
2152,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Dinotiscus bidentulus,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00363,-999,-999,-999,-999,Phoeophthorus rhododactylus,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0016,-999,-999,-999,-999,8.553837647,-9.99E+02
2200,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Ilyobates nigricollis,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.00375,-999,-999,-999,-999,Sitona regensteinensis,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0045,-999,-999,-999,-999,0.620219098,-9.99E+02
2228,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Paecilomyces sp,-999,Fungi,heterotrophic fungi,pathogen,-999,0.000006,-999,-999,-999,-999,Sitona regensteinensis,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0045,-999,-999,-999,-999,6.99E-17,-9.99E+02
2233,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Parus caeruleus,-999,Bird,endotherm vertebrate,predacious,-999,0.115,-999,-999,-999,-999,Halystinus obscurus,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0015,-999,-999,-999,-999,56119.62367,-9.99E+02
2234,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Parus caeruleus,-999,Bird,endotherm vertebrate,predacious,-999,0.115,-999,-999,-999,-999,Phoeophthorus rhododactylus,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0016,-999,-999,-999,-999,47389.21277,-9.99E+02
2231,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Parus major,-999,Bird,endotherm vertebrate,predacious,-999,0.14,-999,-999,-999,-999,Halystinus obscurus,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0015,-999,-999,-999,-999,96204.07878,-9.99E+02
2232,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Parus major,-999,Bird,endotherm vertebrate,predacious,-999,0.14,-999,-999,-999,-999,Phoeophthorus rhododactylus,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0016,-999,-999,-999,-999,81237.81416,-9.99E+02
2189,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Philonthus politus,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.01225,-999,-999,-999,-999,Sitona regensteinensis ,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0045,-999,-999,-999,-999,13.78795211,-9.99E+02
2182,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Xantholinus linearis,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0075,-999,-999,-999,-999,Sitona regensteinensis,Curculionidae,Coleoptera,-999,"Coleoptera, beetle",invertebrate,-999,0.0045,-999,-999,-999,-999,3.812797357,-9.99E+02
2243,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Braconid species,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00303,-999,-999,-999,-999,Agonopteryx assimemenella,Depressariidae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00714,-999,-999,-999,-999,0.10584988,-9.99E+02
2157,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Apanteles fulvipes,-999,Hymenoptera,invertebrate,parasitoid,-999,0.0029,-999,-999,-999,-999,Chesias legatella LEPIDOPTERA,Geometridae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00918,-999,-999,-999,-999,0.048846666,-9.99E+02
2156,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Apanteles vitripennis,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00308,-999,-999,-999,-999,Chesias legatella,Geometridae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00918,-999,-999,-999,-999,0.057194603,-9.99E+02
2143,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Braconid sp,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00424,-999,-999,-999,-999,Chesias legatella,Geometridae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00918,-999,-999,-999,-999,0.132144995,-9.99E+02
