,ASV,unique_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Class_bold,Order_bold,Family_bold,Genus_bold,Species_bold,ID_bold,ID_level,BLAST_unique_ID,blast_Domain,blast_Phylum,blast_Class,blast_Order,blast_Family,blast_Genus,blast_Species
13,ASV_166,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
14,ASV_336,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
15,ASV_356,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
16,ASV_506,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
17,ASV_514,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
18,ASV_517,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
19,ASV_533,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
20,ASV_611,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
21,ASV_728,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
22,ASV_755,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
23,ASV_885,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
24,ASV_996,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,Species,,,,,,,,
725,ASV_566,Hypothenemus sp. H206,Eukaryota,Arthropoda,Insecta,Coleoptera,Curculionidae,Hypothenemus,Hypothenemus sp. H206,Insecta,Coleoptera,,,,Coleoptera,Species,,,,,,,,
627,ASV_100,Isotomidae sp. DPCOL102537,Eukaryota,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,,Isotomidae sp. DPCOL102537,Entognatha,Entomobryomorpha,,,,Entomobryomorpha,Species,,,,,,,,
628,ASV_1497,Isotomidae sp. DPCOL102537,Eukaryota,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,,Isotomidae sp. DPCOL102537,Entognatha,,Isotomidae,,,IsotomidaeGEN sp. DPCOL102537,Species,,,,,,,,
411,ASV_23,Keijia mneon,Eukaryota,Arthropoda,Arachnida,Araneae,Theridiidae,Keijia <spiders>,Keijia mneon,Arachnida,Araneae,Theridiidae,Platnickina,Platnickina mneon,Platnickina mneon,Species,,,,,,,,
412,ASV_392,Keijia mneon,Eukaryota,Arthropoda,Arachnida,Araneae,Theridiidae,Keijia <spiders>,Keijia mneon,Arachnida,Araneae,Theridiidae,Platnickina,Platnickina mneon,Platnickina mneon,Species,,,,,,,,
413,ASV_501,Keijia mneon,Eukaryota,Arthropoda,Arachnida,Araneae,Theridiidae,Keijia <spiders>,Keijia mneon,Arachnida,Araneae,Theridiidae,Platnickina,Platnickina mneon,Platnickina mneon,Species,,,,,,,,
303,ASV_1683,Lepidoptera sp. BOLD:AAC1583,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,Lepidoptera sp. BOLD:AAC1583,,,,,,,Order,,,,,,,,
723,ASV_1124,Tineidae,Eukaryota,Arthropoda,Insecta,Lepidoptera,Tineidae,,Lepidoptera sp. sc_03005,Insecta,Lepidoptera,,,,Lepidoptera,Family,Lepidoptera sp. sc,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,
721,ASV_370,Tineidae,Eukaryota,Arthropoda,Insecta,Lepidoptera,Tineidae,,Lepidoptera sp. sc_03005,Insecta,Lepidoptera,,,,Lepidoptera,Family,Lepidoptera sp. sc,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,
722,ASV_543,Tineidae,Eukaryota,Arthropoda,Insecta,Lepidoptera,Tineidae,,Lepidoptera sp. sc_03005,Insecta,Lepidoptera,,,,Lepidoptera,Family,Lepidoptera sp. sc,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,
434,ASV_448,Lepidoptera sp. sc,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,Lepidoptera sp. sc_07152,Insecta,Lepidoptera,Agonoxenidae,Agonoxena,Agonoxena argaula,Agonoxena argaula,Species,,,,,,,,
433,ASV_83,Lepidoptera sp. sc,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,Lepidoptera sp. sc_07152,Insecta,Lepidoptera,Agonoxenidae,Agonoxena,Agonoxena argaula,Agonoxena argaula,Species,,,,,,,,
455,ASV_1056,Linepithema humile,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,Linepithema humile,Species,,,,,,,,
454,ASV_781,Linepithema humile,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,Linepithema humile,Species,,,,,,,,
461,ASV_882,Liposcelis bostrychophila,Eukaryota,Arthropoda,Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,Liposcelis bostrychophila,Species,,,,,,,,
462,ASV_1387,Liposcelis decolor,Eukaryota,Arthropoda,Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis decolor,Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis decolor,Liposcelis decolor,Species,,,,,,,,
234,ASV_1117,Littorophiloscia bifasciata,Eukaryota,Arthropoda,Malacostraca,Isopoda,Philosciidae,Littorophiloscia,Littorophiloscia bifasciata,,,,,,,Species,,,,,,,,
177,ASV_101,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
178,ASV_112,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
179,ASV_128,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
180,ASV_146,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
181,ASV_152,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
182,ASV_158,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
183,ASV_159,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
184,ASV_169,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
171,ASV_17,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
185,ASV_172,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
221,ASV_1737,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
186,ASV_177,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
187,ASV_184,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
188,ASV_187,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
189,ASV_194,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
190,ASV_203,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
191,ASV_209,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
192,ASV_221,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
193,ASV_222,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
194,ASV_226,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
195,ASV_248,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
196,ASV_254,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
197,ASV_261,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
198,ASV_262,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
199,ASV_301,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
200,ASV_312,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
201,ASV_314,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
202,ASV_342,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
203,ASV_378,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
204,ASV_388,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
205,ASV_422,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
206,ASV_471,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
207,ASV_489,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
208,ASV_499,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
209,ASV_502,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
210,ASV_510,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
211,ASV_519,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
212,ASV_532,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
213,ASV_651,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
172,ASV_70,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
173,ASV_73,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
214,ASV_735,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
215,ASV_773,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
174,ASV_79,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
216,ASV_790,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
175,ASV_82,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
217,ASV_853,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
218,ASV_867,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
219,ASV_880,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
176,ASV_89,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
220,ASV_948,Mecistocephalus guildingii,Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Mecistocephalus,Mecistocephalus guildingii,,,,,,,Species,,,,,,,,
7,ASV_352,Mus musculus,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,,,,,,,Species,,,,,,,,
8,ASV_537,Mus musculus,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,,,,,,,Species,,,,,,,,
9,ASV_572,Mus musculus,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,,,,,,,Species,,,,,,,,
460,ASV_1084,Myopsocidae sp. sc,Eukaryota,Arthropoda,Insecta,Psocoptera,Myopsocidae,,Myopsocidae sp. sc_07272,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,Ectopsocus hawaiiensis,Ectopsocus hawaiiensis,Species,,,,,,,,
399,ASV_102,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
407,ASV_1554,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
408,ASV_1558,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
409,ASV_1560,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
410,ASV_1665,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
400,ASV_206,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
396,ASV_21,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
401,ASV_258,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
397,ASV_29,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
394,ASV_3,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
402,ASV_322,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
403,ASV_436,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
404,ASV_485,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
405,ASV_692,Neoscona theisi,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,Neoscona theisi,Species,,,,,,,,
