Query ID,Best ID,Search DB,Top %,Low %
ASV_32,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_33,No match,COI FULL DATABASE (includes records without species designation),,
ASV_34,No match,COI FULL DATABASE (includes records without species designation),,
ASV_35,No match,COI FULL DATABASE (includes records without species designation),,
ASV_36,Pycnoscelus surinamensis,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_37,Periplaneta australasiae,COI FULL DATABASE (includes records without species designation),100,92.23
ASV_38,Araneae,COI FULL DATABASE (includes records without species designation),98.65,85.11
ASV_39,No match,COI FULL DATABASE (includes records without species designation),,
ASV_40,2012,COI FULL DATABASE (includes records without species designation),100,90.61
ASV_41,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.52
ASV_42,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_43,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.63,96.76
ASV_44,Araneae,COI FULL DATABASE (includes records without species designation),97.73,90.43
ASV_45,Psocodea,COI FULL DATABASE (includes records without species designation),100,80.78
ASV_46,No match,COI FULL DATABASE (includes records without species designation),,
ASV_47,Basidiomycota Insecta ,COI FULL DATABASE (includes records without species designation),98.45,76.98
ASV_48,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.27,96.76
ASV_49,Psocodea,COI FULL DATABASE (includes records without species designation),100,81.23
ASV_50,No match,COI FULL DATABASE (includes records without species designation),,
ASV_51,Araneae,COI FULL DATABASE (includes records without species designation),98.71,90.57
ASV_52,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.11
ASV_53,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,91.19
ASV_54,No match,COI FULL DATABASE (includes records without species designation),,
ASV_55,No match,COI FULL DATABASE (includes records without species designation),,
ASV_56,No match,COI FULL DATABASE (includes records without species designation),,
ASV_57,Siphunculina striolata,COI FULL DATABASE (includes records without species designation),100,91.59
ASV_58,Diptera,COI FULL DATABASE (includes records without species designation),100,83.41
ASV_59,No match,COI FULL DATABASE (includes records without species designation),,
ASV_60,Hasarius adansoni,COI FULL DATABASE (includes records without species designation),100,89.64
ASV_61,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.57
ASV_62,No match,COI FULL DATABASE (includes records without species designation),,
ASV_63,Proteobacteria Insecta ,COI FULL DATABASE (includes records without species designation),100,98.8
ASV_64,No match,COI FULL DATABASE (includes records without species designation),,
ASV_65,Agonoxena argaula,COI FULL DATABASE (includes records without species designation),100,89.32
ASV_66,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),98.77,90.8
ASV_67,No match,COI FULL DATABASE (includes records without species designation),,
ASV_68,Hemiptera,COI FULL DATABASE (includes records without species designation),98.6,85.37
ASV_69,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.73,89.64
ASV_70,Araneae,COI FULL DATABASE (includes records without species designation),99.33,85.39
ASV_71,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.73,89.64
ASV_72,No match,COI FULL DATABASE (includes records without species designation),,
ASV_73,Agonoxena argaula,COI FULL DATABASE (includes records without species designation),100,89.32
ASV_74,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),98.31,94.92
ASV_75,2012,COI FULL DATABASE (includes records without species designation),100,90.6
ASV_76,Bradysia ocellaris,COI FULL DATABASE (includes records without species designation),100,94.61
ASV_77,Scytodes longipes,COI FULL DATABASE (includes records without species designation),98.06,84.79
ASV_78,Araneae,COI FULL DATABASE (includes records without species designation),99.33,85.52
ASV_79,No match,COI FULL DATABASE (includes records without species designation),,
ASV_80,No match,COI FULL DATABASE (includes records without species designation),,
ASV_81,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.63,96.76
ASV_82,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.94
ASV_83,No match,COI FULL DATABASE (includes records without species designation),,
ASV_84,No match,COI FULL DATABASE (includes records without species designation),,
ASV_85,No match,COI FULL DATABASE (includes records without species designation),,
ASV_86,No match,COI FULL DATABASE (includes records without species designation),,
ASV_87,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.35,97.09
ASV_88,No match,COI FULL DATABASE (includes records without species designation),,
ASV_89,No match,COI FULL DATABASE (includes records without species designation),,
ASV_90,No match,COI FULL DATABASE (includes records without species designation),,
ASV_91,Nylanderia vividula,COI FULL DATABASE (includes records without species designation),100,91.45
ASV_92,Pycnoscelus surinamensis,COI FULL DATABASE (includes records without species designation),100,86.21
ASV_93,No match,COI FULL DATABASE (includes records without species designation),,
ASV_94,Diptera,COI FULL DATABASE (includes records without species designation),97.41,93.33
ASV_95,No match,COI FULL DATABASE (includes records without species designation),,
ASV_96,Dactylosternum abdominale,COI FULL DATABASE (includes records without species designation),98.71,83.82
ASV_97,Diploptera punctata,COI FULL DATABASE (includes records without species designation),100,82.52
ASV_98,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_99,Coleoptera,COI FULL DATABASE (includes records without species designation),100,85.14
ASV_100,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
