Island,Date,Tree,Number,Weight_mg,Length_mm,Order,Family,Genus,Species
Holei,9/1/10,PG,990,1.435,4.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,670,69.315,15.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,676,37.994,12.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,673,44.026,14,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,991,31.068,12.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,672,51.574,15.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,671,8.856,7.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,626,16.625,12.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,PG,627,22.677,11.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,TA,989,31.591,14.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Holei,9/1/10,TA,607,8.896,9.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,1,4.018,6.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,99,17.514,9.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,53,5.323,8.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,4,4.062,6.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,102,5.414,7.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,3,1.926,4.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,65,15.671,9.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,2,14.817,10.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,85,4.319,6.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,8/23/10,PG,55,9.842,9,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,9/10/10,TA,769,4.888,7.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,9/10/10,PG,771,9.33,8.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,9/10/10,PG,772,16.126,9.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,9/10/10,PG,773,10.513,9.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Home,9/10/10,PG,770,15.737,11,Orthoptera,Tettigonidae,Phisis,holdhausi
Kaula,8/31/10,PG,620,0.423,3.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Kaula,8/31/10,TA,608,10.75,10.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Kaula,8/31/10,TA,618,6.388,10.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Kaula,8/31/10,TA,619,80.183,17.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Kaula,9/6/10,TA,1108,52.359,13.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/23/10,PS,100,2.61,6,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/23/10,PS,86,41.332,12.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/27/10,scae,256,0.839,3.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/27/10,scae,253,19.361,10.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,TA,398,35.057,12.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,PG,453,11.663,9.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,PG,454,37.758,12.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,PG,452,24.101,12.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,PG,448,8.994,7.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,PG,446,9.97,7.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,PG,451,8.637,7.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,PG,450,26.175,11,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,PG,447,27.885,13.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,8/30/10,PG,445,5.52,7,Orthoptera,Tettigonidae,Phisis,holdhausi
Leslie,9/4/10,TA,1075,31.711,13.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,8/23/10,PG,69,37.743,10.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,8/24/10,PG,66,12.376,8.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,8/24/10,PG,105,9.014,8,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,9/1/10,PS,646,3.212,6.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,9/8/10,PG,1189,5.413,7.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,9/8/10,PG,1185,8.746,9.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,9/8/10,PG,1184,23.091,11,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,9/8/10,PG,1188,15.091,10.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,9/8/10,PG,1187,5.459,7.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Lost,9/8/10,PG,1186,8.31,10,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,247,22.01,12.4,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,251,7.58,7.4,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,266,8.506,8.5,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,249,9.864,10,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,265,21.465,11.2,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,252/282,16.273,12,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,250,5.054,7.2,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,267,9.291,9,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,248,11.743,10.1,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PS,258,39.884,12.4,Orthoptera,Tettigonidae,Phisis,holdhausi
NF,8/27/10,PG,268,82.309,27.5,Orthoptera,Tettigonidae,Conoccephalus,saltator
NF,8/27/10,PG,269,27.919,18.1,Orthoptera,Tettigonidae,Conoccephalus,saltator
NF,8/27/10,PG,263,31.573,18.5,Orthoptera,Tettigonidae,Conoccephalus,saltator
NF,8/27/10,PG,264,31.725,18.9,Orthoptera,Tettigonidae,Conoccephalus,saltator
NF,8/27/10,PS,270,68.008,28.9,Orthoptera,Tettigonidae,Conoccephalus,saltator
NF,8/27/10,PS,259,61.11,23.5,Orthoptera,Tettigonidae,Conoccephalus,saltator
NSC,8/31/10,TA,698,1.434,4.2,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/1/10,PG,677,8.491,9,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/1/10,PG,679,40,13.3,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/1/10,PG,681,18.657,10.1,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/1/10,PG,682,1.246,3.5,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/1/10,PG,678,1.445,5.2,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/1/10,PG,680,3.096,6.5,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/4/10,TA,1073,21.363,11,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/4/10,TA,1077,34.65,14.5,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/4/10,TA,1076,34.282,12.3,Orthoptera,Tettigonidae,Phisis,holdhausi
NSC,9/4/10,TA,1080,30.605,12.5,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/26/10,PG,295,1.46,7.3,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/26/10,PG,299,3.517,6,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/26/10,PG,301,0.7,2.9,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/26/10,PG,298,40.328,13.3,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/26/10,PG,296,9.537,7.9,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/26/10,PG,300,25.138,12.4,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/28/10,PG,643,1.916,4.5,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/26/10,PG,297,15.663,10.4,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/26/10,PG,302,8.524,7.7,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,8/28/10,PG,639,4.688,7.4,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,9/9/10,PG,1154,53.132,15.5,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,9/9/10,PG,1153,61.884,16.5,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,9/9/10,PG,1173,22.36,12.3,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,9/9/10,PG,1181,13.451,10,Orthoptera,Tettigonidae,Phisis,holdhausi
P.mouth,9/9/10,TA,1179,78.791,14.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,8/30/10,PS,380,1.862,4.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,8/30/10,PS,381,22.032,10.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,8/30/10,TA,511,18.829,10.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,8/30/10,TA,379,27.009,10.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,9/9/10,PG,1193,32.99,11.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,9/9/10,PG,1192,3.856,6.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,9/9/10,PG,1191,1.062,4.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,9/15/10,PG,1417,23.786,11.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,9/15/10,PG,1415,45.782,14.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,9/15/10,PG,1415,42.87,14.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,9/15/10,PG,1416,51.685,14,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,9/15/10,PG,1418,0.992,4.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Papala,9/15/10,PG,1419,6.939,7.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,9/6/10,PG,1106,2.026,6.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,9/6/10,PG,1105,2.213,3.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,9/6/10,PG,1104,8.797,8.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,9/10/10,PG,767,23.482,13.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,8/28/10,PG,346,78.298,16.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,8/28/10,PG,345,7.409,8,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,9/6/10,TA,1107,1.273,4.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,9/10/10,TA,768,65.464,17.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,9/6/10,TA,1109,56.81,15.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Paradise,9/10/10,TA,775,48.007,15,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,183,17.608,9.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,200,10.699,12.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,201,58.403,14.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,175,5.414,7.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,186,32.239,13.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,190,4.648,8.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,173,10.603,9.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,206,2.2,4.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,185,31.634,13.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,184,4.411,6.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,182,42.593,13.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,174,5.805,7.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,188,5.702,6.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,181,3.276,6.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,PG,187,18.191,10.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,TA,179,64.893,14.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,TA,254,13.788,8.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,TA,255,25.573,16.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,TA,180,79.441,16,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,9/12/10,TA,1302,42.033,17.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,9/12/10,TA,1304,9.814,8.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,9/12/10,TA,1301,82.277,16.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,9/12/10,TA,1300,76.984,16.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,9/12/10,TA,799,77.132,17.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,9/12/10,TA,1303,0.77,3.8,Orthoptera,Tettigonidae,Phisis,holdhausi
Quail,8/26/10,TA,257,25.429,17.3,Orthoptera,Tettigonidae,Conoccephalus,saltator
Quail,8/26/10,TA,246,14.087,14.9,Orthoptera,Tettigonidae,Conoccephalus,saltator
Sand,8/24/10,PG,152,7.2,9.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,161,2.732,6.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,160,0.345,2.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,153,1.768,5.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,159,6.821,7.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,164,9.976,9.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,157,10.363,9.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,163,3.344,6.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,161,22.776,12.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,154,8.195,7.9,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,162,0.706,3,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,155,4.056,6.4,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PG,156,12.223,9.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PS,131,0.857,3.6,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PS,147,22.408,9.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PS,114,1.916,4.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PS,32,2.981,7.3,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PS,123,1.745,4.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PS,139,0.577,3.1,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,8/24/10,PS,121,1.439,4.2,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,9/1/10,PG,604,62.617,15.5,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,9/1/10,PG,606,13.915,9.7,Orthoptera,Tettigonidae,Phisis,holdhausi
Sand,9/1/10,PG,605,9.288,9.3,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,8/25/10,PG,169,10.36,8.7,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,8/25/10,PG,171,6.071,8,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,8/25/10,PG,166,5.329,7.7,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,8/25/10,PG,167,8.6,7.8,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,8/25/10,PG,170,10.053,8.2,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,8/25/10,PG,168,4.41,7.2,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,9/13/10,PG,1337,29.264,14,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,9/13/10,PG,1336,33.287,14,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,9/13/10,PG,1335,28.883,13.3,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,9/15/10,PG,1404,0.426,2.5,Orthoptera,Tettigonidae,Phisis,holdhausi
SF,9/13/10,PG,1338,36.617,21.1,Orthoptera,Tettigonidae,Conoccephalus,saltator
WHIP,8/26/10,TA,350,33.8,13.4,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,8/26/10,TA,348,73.821,17.4,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,8/26/10,TA,349,2.846,5.7,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,8/26/10,TA,197,0.408,3.1,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,8/26/10,TA,202,55.293,14.2,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,8/28/10,PG,354,0.508,3.8,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,8/28/10,PG,356,4.194,6.6,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,9/9/10,PG,1164,6.08,7.9,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,9/9/10,PG,1168,9.13,9.3,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,9/9/10,TA,1163,55.225,15.1,Orthoptera,Tettigonidae,Phisis,holdhausi
WHIP,9/9/10,TA,1203,27.696,10.9,Orthoptera,Tettigonidae,Phisis,holdhausi
