Class,Family,Order,Group,Collection_Method,Plant,Date_Collected,Island,Site,Working_Name,Species_Name,Stage,Sex,Length_mm,Width_mm,Height_mm,Shape,Pi,Volume_mm3,Volume_ml,Mass_g,Mass_mg,Total_Mass_mg,Difference_Mass_Wieght,Femur.length.mm,Femur.width.mm,Femur.height.mm,Tibia.length.mm,Tibia.width.mm,Tibia.height.mm,Scale_Weight_mg,Scale,Box.Number,Column,Row,Notes,Measurer,Femur_Vol_mm3,Femur_Vol_ml,Femur_Mass_g,Femur_Mass_mg,Tibia_Vol_mm3,Tibia_Vol_ml,Tibia_Mass_g,Tibia_Mass_mg
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Papala,Coast3,Amph.2,Amphipod_sp_2,Adult,,3.3,0.6,0.9,Ellipsoid,3.141592,0.933052824,0.000933053,0.001026358,1.026358106,1.026358106,32,,,,,,,1.5,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Cooper,CN7,Amph.2,Amphipod_sp_2,Adult,,3.4,0.5,0.7,Ellipsoid,3.141592,0.623082413,0.000623082,0.000685391,0.685390655,0.685390655,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Eastern,PF5,Amph.2,Amphipod_sp_2,Adult,,3.5,0.7,1,Ellipsoid,3.141592,1.282816733,0.001282817,0.001411098,1.411098407,1.411098407,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Bui Box,Cocos Litter,,Holei,ST1,Amph.2,Amphipod_sp_2,Adult,,3.6,0.6,0.7,Ellipsoid,3.141592,0.791681184,0.000791681,0.000870849,0.870849302,0.870849302,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Cooper,HI5,Amph.2,Amphipod_sp_2,Adult,,3.6,1.1,1,Ellipsoid,3.141592,2.07345072,0.002073451,0.002280796,2.280795792,2.280795792,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Bui Box,Wide Blade Grass,,Cooper,NO4,Amph.2,Amphipod_sp_2,Adult,,3.6,0.6,0.7,Ellipsoid,3.141592,0.791681184,0.000791681,0.000870849,0.870849302,0.870849302,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Eastern,PF5,Amph.2,Amphipod_sp_2,Adult,,3.6,0.7,0.9,Ellipsoid,3.141592,1.187521776,0.001187522,0.001306274,1.306273954,1.306273954,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation,Inland4,Amph.2,Amphipod_sp_2,Adult,,3.6,0.7,0.9,Ellipsoid,3.141592,1.187521776,0.001187522,0.001306274,1.306273954,1.306273954,0,,,,,,,1.3,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Cooper,PF2,Amph.2,Amphipod_sp_2,Adult,,3.7,0.9,0.8,Ellipsoid,3.141592,1.394866848,0.001394867,0.001534354,1.534353533,1.534353533,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Bui Box,Cocos and Pandanus,,Eastern,PF2,Amph.2,Amphipod_sp_2,Adult,,3.7,0.7,0.8,Ellipsoid,3.141592,1.084896437,0.001084896,0.001193386,1.193386081,1.193386081,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Papala,Coast3,Amph.2,Amphipod_sp_2,Adult,,3.7,1,0.9,Ellipsoid,3.141592,1.74358356,0.001743584,0.001917942,1.917941916,1.917941916,-13,,,,,,,1.7,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Kaula3,Coast5,Amph.2,Amphipod_sp_2,Adult,,3.8,0.9,1,Ellipsoid,3.141592,1.79070744,0.001790707,0.001969778,1.969778184,1.969778184,-23,,,,,,,1.6,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation ,Coast4,Amph.2,Amphipod_sp_2,Adult,,3.8,1,1,Ellipsoid,3.141592,1.989674933,0.001989675,0.002188642,2.188642427,2.188642427,9,,,,,,,2.4,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Paradise,Inland5,Amph.2,Amphipod_sp_2,Adult,,4,0.7,1,Ellipsoid,3.141592,1.466076267,0.001466076,0.001612684,1.612683893,1.612683893,10,,,,,,,1.8,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Core,,,Strawn,,Amph.2,Amphipod_sp_2,Adult,,4.1,0.9,1.1,Ellipsoid,3.141592,2.125286988,0.002125287,0.002337816,2.337815687,2.337815687,-56,,,,,,,1.5,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation ,Coast4,Amph.2,Amphipod_sp_2,Adult,,4.1,0.9,1,Ellipsoid,3.141592,1.93207908,0.001932079,0.002125287,2.125286988,2.125286988,24,,,,,,,2.8,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,North Fighter,Inland1,Amph.2,Amphipod_sp_2,Adult,,4.1,0.9,1,Ellipsoid,3.141592,1.93207908,0.001932079,0.002125287,2.125286988,2.125286988,15,,,,,,,2.5,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Bui Box,Cocos and Pandanus,,Eastern,PF2,Amph.2,Amphipod_sp_2,Adult,,4.2,0.9,1.1,Ellipsoid,3.141592,2.177123256,0.002177123,0.002394836,2.394835582,2.394835582,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Bui Box,Litter,,Eastern ,PF5,Amph.2,Amphipod_sp_2,Adult,,4.2,1,1.4,Ellipsoid,3.141592,3.07876016,0.00307876,0.003386636,3.386636176,3.386636176,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation ,Coast4,Amph.2,Amphipod_sp_2,Adult,,4.2,0.8,1.1,Ellipsoid,3.141592,1.935220672,0.001935221,0.002128743,2.128742739,2.128742739,15,,,,,,,2.5,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation ,Coast4,Amph.2,Amphipod_sp_2,Adult,,4.3,0.9,1.1,Ellipsoid,3.141592,2.228959524,0.00222896,0.002451855,2.451855476,2.451855476,-2,,,,,,,2.4,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation,Inland5,Amph.2,Amphipod_sp_2,Adult,,4.3,0.8,1,Ellipsoid,3.141592,1.801179413,0.001801179,0.001981297,1.981297355,1.981297355,-98,,,,,,,1,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Papala,Coast3,Amph.2,Amphipod_sp_2,Adult,,4.3,1,1,Ellipsoid,3.141592,2.251474267,0.002251474,0.002476622,2.476621693,2.476621693,-8,,,,,,,2.3,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Bui Box,Cocos Litter,,Holei,ST1,Amph.2,Amphipod_sp_2,Adult,,4.4,0.6,0.8,Ellipsoid,3.141592,1.105840384,0.00110584,0.001216424,1.216424422,1.216424422,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Paradise,NO3,Amph.2,Amphipod_sp_2,Adult,,4.4,0.9,1,Ellipsoid,3.141592,2.07345072,0.002073451,0.002280796,2.280795792,2.280795792,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro ,Soil,,Cooper,HI4,Amph.2,Amphipod_sp_2,Adult,,4.4,1,1.1,Ellipsoid,3.141592,2.534217547,0.002534218,0.002787639,2.787639301,2.787639301,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation ,Coast4,Amph.2,Amphipod_sp_2,Adult,,4.5,0.8,0.9,Ellipsoid,3.141592,1.69645968,0.00169646,0.001866106,1.866105648,1.866105648,-17,,,,,,,1.6,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Core,,,Strawn,,Amph.2,Amphipod_sp_2,Adult,,4.5,0.9,1.1,Ellipsoid,3.141592,2.33263206,0.002332632,0.002565895,2.565895266,2.565895266,22,,,,,,,3.3,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Cooper,HI5,Amph.2,Amphipod_sp_2,Adult,,4.6,1,1.3,Ellipsoid,3.141592,3.131120027,0.00313112,0.003444232,3.444232029,3.444232029,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation ,Coast4,Amph.2,Amphipod_sp_2,Adult,,4.6,0.8,1.1,Ellipsoid,3.141592,2.119527403,0.002119527,0.00233148,2.331480143,2.331480143,-6,,,,,,,2.2,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,North Fighter,Inland1,Amph.2,Amphipod_sp_2,Adult,,4.6,0.9,1,Ellipsoid,3.141592,2.16769848,0.002167698,0.002384468,2.384468328,2.384468328,8,,,,,,,2.6,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation ,Coast4,Amph.2,Amphipod_sp_2,Adult,,4.6,1,1.2,Ellipsoid,3.141592,2.89026464,0.002890265,0.003179291,3.179291104,3.179291104,-51,,,,,,,2.1,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Core,,,Strawn,,Amph.2,Amphipod_sp_2,Adult,,4.6,1.2,1.1,Ellipsoid,3.141592,3.179291104,0.003179291,0.00349722,3.497220214,3.497220214,15,,,,,,,4.1,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation,Inland5,Amph.2,Amphipod_sp_2,Adult,,4.6,0.8,1.2,Ellipsoid,3.141592,2.312211712,0.002312212,0.002543433,2.543432883,2.543432883,-70,,,,,,,1.5,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Core,,,Strawn,,Amph.2,Amphipod_sp_2,Adult,,4.6,0.8,1.1,Ellipsoid,3.141592,2.119527403,0.002119527,0.00233148,2.331480143,2.331480143,3,,,,,,,2.4,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation,Coast4,Amph.2,Amphipod_sp_2,Adult,,4.7,1.4,1.4,Ellipsoid,3.141592,4.823390917,0.004823391,0.00530573,5.305730009,5.305730009,-33,,,,,,,4,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Papala,Coast3,Amph.2,Amphipod_sp_2,Adult,,4.7,1,1.2,Ellipsoid,3.141592,2.95309648,0.002953096,0.003248406,3.248406128,3.248406128,-25,,,,,,,2.6,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Core,,,Strawn,,Amph.2,Amphipod_sp_2,Adult,,4.7,1.2,0.9,Ellipsoid,3.141592,2.657786832,0.002657787,0.002923566,2.923565515,2.923565515,-12,,,,,,,2.6,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Papala,Coast3,Amph.2,Amphipod_sp_2,Adult,,4.9,1,1.3,Ellipsoid,3.141592,3.335323507,0.003335324,0.003668856,3.668855857,3.668855857,-60,,,,,,,2.3,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Cooper,PF2,Amph.2,Amphipod_sp_2,Adult,,5.2,1,1.1,Ellipsoid,3.141592,2.994984373,0.002994984,0.003294483,3.294482811,3.294482811,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Paradise,NO3,Amph.2,Amphipod_sp_2,Adult,,5.2,1,1.5,Ellipsoid,3.141592,4.0840696,0.00408407,0.004492477,4.49247656,4.49247656,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Kaula3,Coast5,Amph.2,Amphipod_sp_2,Adult,,5.2,1.1,1.2,Ellipsoid,3.141592,3.593981248,0.003593981,0.003953379,3.953379373,3.953379373,-32,,,,,,,3,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation ,Coast4,Amph.2,Amphipod_sp_2,Adult,,5.2,0.8,1,Ellipsoid,3.141592,2.178170453,0.00217817,0.002395987,2.395987499,2.395987499,23,,,,,,,3.1,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Pitfall,,,Aviation ,Coast4,Amph.2,Amphipod_sp_2,Adult,,5.5,1.1,1.4,Ellipsoid,3.141592,4.434880707,0.004434881,0.004878369,4.878368777,4.878368777,-36,,,,,,,3.6,,,,,,,,,,,,,,
Arachnida,Anapidae,Araneae,Araneae,Berlese Macro,CN,N/A,Eastern,CN3,Anapidae.sp,Anapidae_sp_1,Adult,,0.6,0.4,0.2,Direct_Measure,3.141592,0.048,0.000048,0.0000528,0.0528,0.0532,0,,,,,,,0.0532,micro,2,D,1,,KP,,,,,,,,
Arachnida,Anapidae,Araneae,Araneae,Fogging,Pisonia,N/A,Dudley,Pisonia,Anapidae.sp,Anapidae_sp_1,Adult,,0.6,0.4,0.2,Direct_Measure,3.141592,0.048,0.000048,0.0000528,0.0528,0.059,0,,,,,,,0.059,micro,5,C,6,,KP,,,,,,,,
Arachnida,Anapidae,Araneae,Araneae,Berlese Macro,PG,30-Sep-16,Cooper,PG1,Anapidae.sp,Anapidae_sp_1,Adult,,0.7,0.4,0.2,Direct_Measure,3.141592,0.056,0.000056,0.0000616,0.0616,0.0723,0,,,,,,,0.0723,micro,2,F,6,,KP,,,,,,,,
Arachnida,Anapidae,Araneae,Araneae,Fogging,Hibiscus,28-Sep-16,Cooper,HI2,Coleosoma.floridanum,Coleosoma_floridanum,Adult,,0.6,0.7,0.8,Direct_Measure,3.141592,0.336,0.000336,0.0003696,0.3696,0.3312,0,,,,,,,0.3312,Micro,9,D,8,,Erica Weed,,,,,,,,
Arachnida,Anapidae,Araneae,Araneae,Berlese.Veg.Box,Pisonia Litter,22-Aug-16,Eastern,PG4,Coleosoma.floridanum,Coleosoma_floridanum,Adult,,0.65,0.5,0.5,Direct_Measure,3.141592,0.1625,0.0001625,0.00017875,0.17875,0.3,0,,,,,,,0.3,METTLER AJ100,7,B,9,,Erica Weed,,,,,,,,
Arachnida,Anapidae,Araneae,Araneae,Berlese.Veg.Box,Pisonia Litter,22-Aug-16,Eastern,PG4,Coleosoma.floridanum,Coleosoma_floridanum,Adult,,0.7,0.5,0.5,Direct_Measure,3.141592,0.175,0.000175,0.0001925,0.1925,0.5,0,,,,,,,0.5,METTLER AJ100,7,B,9,,Erica Weed,,,,,,,,
Arachnida,Anapidae,Araneae,Araneae,Berlese.Veg.Box,Pisonia Litter,22-Aug-16,Eastern,PG4,Coleosoma.floridanum,Coleosoma_floridanum,Adult,,0.85,0.4,0.5,Direct_Measure,3.141592,0.17,0.00017,0.000187,0.187,0.3,0,,,,,,,0.3,METTLER AJ100,7,B,9,,Erica Weed,,,,,,,,
Arachnida,,Araneae,Araneae,Berlese Bui Box,Cocos litter,28-Aug-16,Papala,CN5,Grey.Body.Spider,Grey_body_spider,Adult,,1.1,0.5,0.2,Direct_Measure,3.141592,0.11,0.00011,0.000121,0.121,0.1415,0,,,,,,,0.1415,micro,7,A,9,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Berlese BC,Cocos,23-Aug-16,Eastern,Cocos 1,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.1,0.5,0.2,Direct_Measure,3.141592,0.11,0.00011,0.000121,0.121,0.13,0,,,,,,,0.13,micro,2,C,6,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Berlese Macro,CN,17-Sep-16,Casper,CN4,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.3,0.6,0.3,Direct_Measure,3.141592,0.234,0.000234,0.0002574,0.2574,0.1712,0,,,,,,,0.1712,micro,7,B,4,funnel C2,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,Pisonia,11-Sep-16,Sand,Pisonia,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.3,0.6,0.3,Direct_Measure,3.141592,0.234,0.000234,0.0002574,0.2574,0.19,0,,,,,,,0.19,micro,4,C,7,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,Pisonia,3-Sep-16,Sand,Pisonia 1,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.4,0.7,0.3,Direct_Measure,3.141592,0.294,0.000294,0.0003234,0.3234,0.3505,0,,,,,,,0.3505,micro,9,P,8,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,4-Sep-16,Cooper,CN2,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.6,0.7,0.3,Direct_Measure,3.141592,0.336,0.000336,0.0003696,0.3696,0.42,0,,,,,,,0.42,micro,6,I,1,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,Pisonia,10-Sep-16,Cooper,Pisonia 1,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.6,0.7,0.3,Direct_Measure,3.141592,0.336,0.000336,0.0003696,0.3696,0.421,0,,,,,,,0.421,micro,6,M,9,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Berlese-Hand,Cocos litter,14-Sep-16,Portsmouth,PG3,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.7,0.6,0.4,Direct_Measure,3.141592,0.408,0.000408,0.0004488,0.4488,0.3327,0,,,,,,,0.3327,micro,3,D,3,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,26-Sep-16,Kaula,CN5,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.7,0.7,0.4,Direct_Measure,3.141592,0.476,0.000476,0.0005236,0.5236,0.281,0,,,,,,,0.281,micro,4,N,4,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,Pisonia,19-Aug-16,Whippoorwill,PG5,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.7,0.7,0.4,Direct_Measure,3.141592,0.476,0.000476,0.0005236,0.5236,0.398,0,,,,,,,0.398,micro,5,P,3,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,29-Sep-16,Cooper,CN5,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.7,0.7,0.4,Direct_Measure,3.141592,0.476,0.000476,0.0005236,0.5236,0.35,0,,,,,,,0.35,micro,6,O,8,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,Pisonia,17-Sep-16,Dudley,Pisonia,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.8,0.6,0.3,Direct_Measure,3.141592,0.324,0.000324,0.0003564,0.3564,0.52,0,,,,,,,0.52,micro,5,C,9,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,26-Sep-16,Kaula,CN5,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.8,0.6,0.3,Direct_Measure,3.141592,0.324,0.000324,0.0003564,0.3564,0.35,0,,,,,,,0.35,micro,7,L,5,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,PG,21-Aug-16,Whippoorwill,PG2,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.8,0.7,0.4,Direct_Measure,3.141592,0.504,0.000504,0.0005544,0.5544,0.365,0,,,,,,,0.365,micro,5,J,8,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,4-Sep-16,Cooper,CN2,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.8,0.7,0.3,Direct_Measure,3.141592,0.378,0.000378,0.0004158,0.4158,0.405,0,,,,,,,0.405,micro,6,I,1,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,Pisonia,19-Aug-16,Whippoorwill,PG5,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.9,0.7,0.4,Direct_Measure,3.141592,0.532,0.000532,0.0005852,0.5852,0.6916,0,,,,,,,0.6916,micro,5,P,3,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,26-Sep-16,Kaula,CN5,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.9,0.6,0.4,Direct_Measure,3.141592,0.456,0.000456,0.0005016,0.5016,0.53,0,,,,,,,0.53,micro,7,L,5,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,29-Sep-16,Cooper,CN5,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.9,0.7,0.4,Direct_Measure,3.141592,0.532,0.000532,0.0005852,0.5852,0.61,0,,,,,,,0.61,micro,8,O,2,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,29-Sep-16,Cooper,CN5,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,1.9,0.8,0.3,Direct_Measure,3.141592,0.456,0.000456,0.0005016,0.5016,0.48,0,,,,,,,0.48,micro,8,O,2,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,Pisonia,17-Sep-16,Dudley,Pisonia,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,2,0.7,0.4,Direct_Measure,3.141592,0.56,0.00056,0.000616,0.616,0.577,0,,,,,,,0.577,micro,5,C,9,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,29-Sep-16,Cooper,CN5,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,2,0.8,0.4,Direct_Measure,3.141592,0.64,0.00064,0.000704,0.704,0.69,0,,,,,,,0.69,micro,8,O,2,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,PG,21-Aug-16,Whippoorwill,PG2,Dark.faced.salticid.0-2mm,Hasarius_adansoni,Juvenile,,2,0.7,0.3,Direct_Measure,3.141592,0.42,0.00042,0.000462,0.462,0.55,0,,,,,,,0.55,micro,5,J,8,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,Pisonia,17-Sep-16,Dudley,Pisonia,Dark.faced.salticid.2-3mm,Hasarius_adansoni,Juvenile,,2.1,0.8,0.4,Direct_Measure,3.141592,0.672,0.000672,0.0007392,0.7392,0.76,0,,,,,,,0.76,micro,5,C,9,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,CN,29-Sep-16,Cooper,CN5,Dark.faced.salticid.2-3mm,Hasarius_adansoni,Juvenile,,2.1,0.7,0.4,Direct_Measure,3.141592,0.588,0.000588,0.0006468,0.6468,0.512,0,,,,,,,0.512,micro,6,O,8,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,PG,21-Aug-16,Whippoorwill,PG2,Dark.faced.salticid.2-3mm,Hasarius_adansoni,Juvenile,,2.1,0.7,0.4,Direct_Measure,3.141592,0.588,0.000588,0.0006468,0.6468,0.338,0,,,,,,,0.338,micro,5,J,8,,KP,,,,,,,,
Arachnida,Salticidae,Araneae,Araneae,Fogging,PG,23-Aug-16,Papala,PG1,Dark.faced.salticid.2-3mm,Hasarius_adansoni,Juvenile,,2.2,0.8,0.4,Direct_Measure,3.141592,0.704,0.000704,0.0007744,0.7744,0.945,0,,,,,,,0.945,micro,1,N,9,,KP,,,,,,,,
