Spider no	Site	Date	Month	Identity	Sex	Age	Predation events	Pepred	Weight	Aqua	Terr	Chir	Aqu	Det	Pred	Herb	Leps	Cole	Hete	Coll	Anthomyidae	Bibionidae	Ceratopogonidae	Chironomidae	Chloropidae	Coelopidae	Culicidae	Dolichopodidae	Drosophilidae	Empididae	Ephydridae	Lonchopteridae	Muscidae	Opomyzidae	Phoridae	Scathophagidae	Scatopsidae	Sphaeroceridae	Collembola	Heteroptera	Coleoptera	Lepidoptera
Spindel_11	Borga hage	151004	10	Pardosa sp	m	subad	1	1	0.7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_12	Borga hage	151004	10	Pardosa sp	f	subad	2	2	0.4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Spindel_13	Borga hage	151004	10	Pardosa sp	f	subad	1	1	0.4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Spindel_14	Skarlov	151003	10	Pardosa sp	f	subad	3	3	0.8	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Spindel_15	Skarlov	151003	10	Pardosa sp	f	subad	1	1	1.1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_16	Skarlov	151003	10	Pardosa sp	m	subad	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_17	Skarlov	151003	10	Pardosa sp	m	subad	4	4	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Spindel_18	Hogby fyr	151004	10	Pardosa sp	f	subad	3	2	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Spindel_19	Hogby fyr	151004	10	Pardosa sp	m	subad	3	3	0.7	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Spindel_20	Hogby fyr	151004	10	Pardosa sp	f	subad	3	3	0.8	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_21	Hogby fyr	151004	10	Pardosa sp	f	subad	4	4	0.9	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Spindel_22	Hogby fyr	151004	10	Pardosa sp	m	subad	3	3	0.9	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Spindel_23	Hogby fyr	151004	10	Pardosa sp	x	juv	5	5	0.9	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_24	Hogby fyr	151004	10	Pardosa sp	m	subad	3	3	0.7	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Spindel_25	Hogby fyr	151004	10	Pardosa sp	m	subad	2	2	0.9	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Spindel_26	Fagerror	151004	10	Pardosa sp	f	subad	2	2	1.8	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Spindel_27	Fagerror	151004	10	Pardosa sp	m	subad	2	2	0.8	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Spindel_28	Fagerror	151004	10	Pardosa sp	m	subad	1	1	0.3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_29	Fagerror	151004	10	Pardosa sp	m	subad	6	6	1.1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
Spindel_30	Fagerror	151004	10	Pardosa sp	f	subad	3	3	0.8	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Spindel_31	Fagerror	151004	10	Pardosa sp	f	subad	4	4	1.1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_32	Fagerror	151004	10	Pardosa sp	m	subad	3	3	2.3	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_33	Fagerror	151004	10	Pardosa sp	x	juv	2	2	0.8	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Spindel_34	Fagerror	151004	10	Pardosa sp	f	subad	1	1	1.1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Spindel_35	Fagerror	151004	10	Pardosa sp	f	subad	3	3	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Spindel_36	Fagerror	151004	10	Pardosa sp	m	subad	4	4	1.2	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Spindel_37	Fagerror	151004	10	Pardosa sp	m	subad	2	2	0.6	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_38	ventlinge	151004	10	Pardosa sp	m	subad	3	2	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_39	ventlinge	151004	10	Pardosa agricola	f	ad	2	2	1.7	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Spindel_40	ventlinge	151004	10	Pardosa sp	f	subad	2	2	1.4	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Spindel_41	ventlinge	151004	10	Pardosa sp	m	subad	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_42	ventlinge	151004	10	Pardosa sp	f	subad	1	1	0.8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_43	ventlinge	151004	10	Pardosa sp	m	subad	3	3	1.2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Spindel_44	ventlinge	151004	10	Pardosa sp	f	subad	2	2	0.9	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Spindel_45	ventlinge	151004	10	Pardosa sp	f	subad	2	2	0.8	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Spindel_46	ventlinge	151004	10	Pardosa sp	x	juv	2	2		1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_47	Hogby fyr	150506	5	Pardosa sp	m	subad	1	1	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Spindel_48	Hogby fyr	150506	5	Pardosa agricola	m	ad	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_49	Hogby fyr	150506	5	Pardosa sp	m	subad	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Spindel_50	Hogby fyr	150506	5	Pardosa sp	f	subad	2	2	1.8	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_51	Hogby fyr	150506	5	Pardosa sp	f	subad	1	1	0.7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_52	Hogby fyr	150506	5	Pardosa sp	m	subad	1	1	0.7	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Spindel_53	Hogby fyr	150506	5	Pardosa sp	f	subad	5	4	1.4	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1
Spindel_54	Hogby fyr	150506	5	Pardosa sp	f	subad	10	10	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1
Spindel_55	Hogby fyr	150506	5	Pardosa sp	m	subad	2	2	0.8	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_56	Hogby fyr	150506	5	Pardosa sp	m	subad	1	1	1.2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_57	Hogby fyr	150506	5	Pardosa sp	f	subad	1	1	0.9	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Spindel_58	Borga hage	150507	5	Pardosa sp	f	subad	1	1	1.4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_59	Borga hage	150507	5	Pardosa sp	f	subad	1	1	0.9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_60	Borga hage	150507	5	Pardosa sp	f	subad	2	2	1.1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_61	Borga hage	150507	5	Pardosa prativaga	f	ad	2	2	1.2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_62	Borga hage	150507	5	Pardosa sp	m	subad	4	4	0.9	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_63	Borga hage	150507	5	Pardosa sp	m	subad	1	1	0.7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_64	Borga hage	150507	5	Pardosa sp	m	subad	4	4	0.9	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_65	Borga hage	150507	5	Pardosa sp	f	subad	1	1	0.6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_66	Borga hage	150507	5	Pardosa sp	m	subad	2	2	0.9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_67	Borga hage	150507	5	Pardosa sp	m	subad	2	2	1.1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_68	Skarlov	150506	5	Pardosa sp	f	subad	1	1	1.6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_69	Skarlov	150506	5	Pardosa sp	f	subad	5	5	0.9	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Spindel_70	Skarlov	150506	5	Pardosa sp	f	subad	4	4	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Spindel_71	Skarlov	150506	5	Pardosa sp	f	subad	4	3	1.5	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Spindel_72	Skarlov	150506	5	Pardosa sp	m	subad	3	3	1.4	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
Spindel_73	Skarlov	150506	5	Pardosa agricola	m	ad	7	7	1.1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
Spindel_74	Skarlov	150506	5	Pardosa sp	m	subad	5	4	1.2	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Spindel_75	Skarlov	150506	5	Pardosa sp	m	subad	3	3	0.8	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Spindel_76	Skarlov	150506	5	Pardosa sp	m	subad	1	1	1.2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_77	Fagerror	150506	5	Pardosa sp	f	subad	5	5		1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_78	Fagerror	150506	5	Pardosa sp	f	subad	3	3	0.9	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_79	Fagerror	150506	5	Pardosa sp	f	subad	1	1	0.7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_80	Fagerror	150506	5	Pardosa sp	f	subad	2	2	1.5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_81	Fagerror	150506	5	Pardosa sp	f	subad	3	3	1.7	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_82	Fagerror	150506	5	Pardosa agricola	m	ad	1	1	0.6	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_83	Fagerror	150506	5	Pardosa sp	f	subad	1	1	0.2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_84	Fagerror	150506	5	Pardosa sp	f	subad	3	3	0.7	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Spindel_85	Fagerror	150506	5	Pardosa sp	f	subad	2	2	0.7	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Spindel_86	Bodudden	150506	5	Pardosa sp	x	juv	4	4	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_87	Bodudden	150506	5	Pardosa sp	m	subad	7	7	0.8	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
Spindel_88	Bodudden	150506	5	Pardosa sp	f	subad	5	4	0.9	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1
Spindel_89	Bodudden	150506	5	Pardosa sp	m	subad	8	6	0.9	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1
Spindel_90	Bodudden	150506	5	Pardosa sp	m	subad	2	2	0.7	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Spindel_91	Bodudden	150506	5	Pardosa sp	x	juv	6	6	0.8	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
Spindel_92	Bodudden	150506	5	Pardosa sp	f	subad	5	5	1.4	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Spindel_93	Bodudden	150506	5	Pardosa sp	f	subad	1	1	1.4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Spindel_94	Bodudden	150506	5	Pardosa sp	m	subad	8	8	1.3	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1
Spindel_95	Bodudden	150506	5	Pardosa sp	m	subad	5	5	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_96	Bodudden	150506	5	Pardosa sp	f	subad	1	1	0.7	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_97	Bodudden	150506	5	Pardosa sp	f	subad	5	5	1.3	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_98	Bodudden	150506	5	Pardosa sp	m	subad	3	3	1.1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Spindel_99	Bodudden	150506	5	Pardosa sp	f	subad	1	1	0.8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_100	Bodudden	150506	5	Pardosa sp	m	subad	6	6	1.6	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Spindel_101	S om Byxelkrok	150506	5	Pardosa sp	m	subad	2	1	0.6	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_102	S om Byxelkrok	150506	5	Pardosa sp	f	subad	2	2	0.6	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Spindel_103	S om Byxelkrok	150506	5	Pardosa prativaga	m	ad	4	4	1.2	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Spindel_104	S om Byxelkrok	150506	5	Pardosa sp	m	subad	3	3	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_105	S om Byxelkrok	150506	5	Pardosa sp	f	subad	5	4	0.9	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_106	S om Byxelkrok	150506	5	Pardosa sp	m	subad	4	4	0.8	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_107	S om Byxelkrok	150506	5	Pardosa sp	f	subad	2	2	1.1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_108	S om Byxelkrok	150506	5	Pardosa sp	f	subad	5	5	0.7	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_109	S om Byxelkrok	150506	5	Pardosa sp	m	subad	4	3	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_110	S om Byxelkrok	150506	5	Pardosa sp	f	subad	4	4	0.9	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Spindel_111	S om Byxelkrok	150506	5	Pardosa sp	m	subad	4	3	1.2	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Spindel_112	S om Byxelkrok	150506	5	Pardosa sp	m	subad	4	4	1.3	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Spindel_113	S om Byxelkrok	150506	5	Pardosa sp	m	subad	4	3	1.3	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
Spindel_114	S om Byxelkrok	150506	5	Pardosa sp	f	subad	10	9	1.3	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0
Spindel_115	S om Byxelkrok	150506	5	Pardosa sp	f	subad	1	1	0.6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Spindel_116	S om Byxelkrok	150506	5	Pardosa sp	f	subad	8	7	1.2	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0
Spindel_117	S om Byxelkrok	150506	5	Pardosa sp	f	subad	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_118	S om Byxelkrok	150506	5	Pardosa sp	m	subad	5	5	0.8	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
Spindel_119	S om Byxelkrok	150506	5	Pardosa sp	m	subad	8	7	0.6	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_120	S om Byxelkrok	150506	5	Pardosa sp	f	subad	2	2	0.7	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_121	Rohalla	150505	5	Pardosa sp	m	subad	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spindel_122	Rohalla	150505	5	Pardosa sp	m	subad	4	4	0.7	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_123	Rohalla	150505	5	Pardosa sp	f	subad	5	5	1.3	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Spindel_124	Rohalla	150505	5	Pardosa sp	f	subad	4	4	0.9	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Spindel_125	Rohalla	150505	5	Pardosa sp	m	subad	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_126	Rohalla	150505	5	Pardosa agricola	m	ad	3	3	0.9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Spindel_127	Rohalla	150505	5	Pardosa sp	f	subad	5	5	0.8	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
