Method,Island,Habitat,Microhabitat,Year,Order,ID,Date Collected ,Extraction ID,Extr_ID2,No. Individuals,Length_mm,Sterilized,Source,Isotope_ID
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB25,,2,13.1,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB26,,1,4.9,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB27,,4,4.4,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB27,,4,5.8,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB27,,4,5.3,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB27,,4,,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB28,,1,8.5,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB29,,1,11,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB3,,2,7.3,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB3,,2,6.3,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB30,,1,3.8,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB31,,2,5.1,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Dermaptera,Euborellia annulipes,8/2/17,EUB31,,2,13,NA,FIELD,NA
Hand,Sand,Asplenium,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB32,,1,15.3,NA,FIELD,NA
Hand,Sand,Asplenium,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB33,,1,13,NA,FIELD,NA
Hand,Sand,Asplenium,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB34,,1,9.2,NA,FIELD,NA
Hand,Sand,Asplenium,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB35,,1,10.5,NA,FIELD,NA
Hand,Sand,Asplenium,Soil,2017,Dermaptera,Euborellia annulipes,8/6/17,EUB36,,1,,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB4,,6,4.3,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB4,,6,3.7,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB4,,6,4.5,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB4,,6,4,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB4,,6,4,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB4,,6,3.8,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB5,,2,7.3,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB5,,2,7,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB6,,3,7.3,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB6,,3,8.7,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB6,,3,8.4,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB7,,1,9.9,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB8,,2,9,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB8,,2,10.3,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Dermaptera,Euborellia annulipes,7/26/17,EUB9,,1,11.2,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Araneae ,Heteropoda venatoria,8/2/17,HEV01,,3,2.3,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Araneae ,Heteropoda venatoria,8/2/17,HEV01,,3,2.5,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Araneae ,Heteropoda venatoria,8/2/17,HEV01,,3,2.7,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Araneae ,Heteropoda venatoria,8/2/17,HEV02,,3,2.9,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Araneae ,Heteropoda venatoria,8/2/17,HEV02,,3,3,NA,FIELD,NA
Fogging,Cooper,CN,Canopy,2017,Araneae ,Heteropoda venatoria,8/2/17,HEV02,,3,3.3,NA,FIELD,NA
Fogging,Cooper,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/3/17,HEV03,,3,2.4,NA,FIELD,NA
Fogging,Cooper,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/3/17,HEV03,,3,2.5,NA,FIELD,NA
Fogging,Cooper,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/3/17,HEV03,,3,2.6,NA,FIELD,NA
Fogging,Cooper,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/3/17,HEV04,,3,4.9,NA,FIELD,NA
Fogging,Cooper,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/3/17,HEV04,,3,5.2,NA,FIELD,NA
Fogging,Cooper,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/3/17,HEV04,,3,6.4,NA,FIELD,NA
Fogging,Cooper,TA,Canopy,2017,Araneae ,Heteropoda venatoria,7/25/17,HEV05,,3,2.4,NA,FIELD,NA
Fogging,Cooper,TA,Canopy,2017,Araneae ,Heteropoda venatoria,7/25/17,HEV05,,3,3.1,NA,FIELD,NA
Fogging,Cooper,TA,Canopy,2017,Araneae ,Heteropoda venatoria,7/25/17,HEV05,,3,3.1,NA,FIELD,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,7/29/17,HEV07,,1,15.5,SS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,7/29/17,HEV10,,1,16.9,SS,LAB,NA
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV100,,1,16.7,NS,FIELD,East 11
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV101,,1,16.7,SS,FIELD,Holei 1
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV102,,1,12.2,SS,FIELD,Holei 2
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV103,,1,13.5,SS,FIELD,Holei 3
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV104,,1,13.2,SS,FIELD,Holei 4
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV105,,1,13.4,SS,FIELD,Holei 5
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV106,,1,15,NS,FIELD,Holei 6
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV107,,1,11.4,NS,FIELD,Holei 7
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV108,,1,11.5,NS,FIELD,Holei 8
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV109,,1,12.8,NS,FIELD,Holei 9
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/7/17,HEV11,,1,17.6,SS,LAB,NA
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV110,,1,9.8,NS,FIELD,Holei 10
Hand,Holei,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV111,,1,7.4,NS,FIELD,Holei 11
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/2/17,HEV12,,1,17.8,SS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,7/29/17,HEV13,,1,18.6,SS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/2/17,HEV14,,1,18.8,SS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/19/17,HEV15,,1,20.2,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/7/17,HEV16,,1,20.9,SS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/7/17,HEV17,,1,21,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/19/17,HEV18,,1,21.1,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae,Heteropoda venatoria,8/16/17,HEV20,,1,21.4,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/19/17,HEV21,,1,22.1,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/2/17,HEV22,,1,22.6,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae,Heteropoda venatoria,8/14/17,HEV23,,1,24.3,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae,Heteropoda venatoria,8/16/17,HEV24,,1,24.3,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae,Heteropoda venatoria,8/14/17,HEV25,,1,24.6,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae,Heteropoda venatoria,8/16/17,HEV26,,1,24.7,NS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae ,Heteropoda venatoria,8/7/17,HEV27,,1,25.4,SS,LAB,NA
Hand,Cooper,Lab area,Understory,2017,Araneae,Heteropoda venatoria,8/14/17,HEV29,,1,27.5,NS,LAB,NA
Fogging,North Fighter,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/8/17,HEV32,,3,3.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/8/17,HEV32,,3,4,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/8/17,HEV32,,3,4.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/8/17,HEV34,,2,4.9,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Araneae ,Heteropoda venatoria,8/8/17,HEV34,,2,5.3,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Araneae ,Heteropoda venatoria,7/26/17,HEV38,,3,3,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Araneae ,Heteropoda venatoria,7/26/17,HEV38,,3,3.1,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Araneae ,Heteropoda venatoria,7/26/17,HEV38,,3,3.6,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Araneae ,Heteropoda venatoria,7/26/17,HEV39,,3,3.7,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Araneae ,Heteropoda venatoria,7/26/17,HEV39,,3,3.9,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Araneae ,Heteropoda venatoria,7/26/17,HEV39,,3,4,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Araneae ,Heteropoda venatoria,7/26/17,HEV40,,2,4.4,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Araneae ,Heteropoda venatoria,7/26/17,HEV40,,2,4.5,NA,FIELD,NA
Fogging,Sand,PG,Canopy,2017,Araneae,Heteropoda venatoria,7/26/17,HEV42,,1,17.5,NA,FIELD,NA
Hand,Sand,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV45,,1,18.3,NA,FIELD,Sand 11
Hand,Sand,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV49,,1,12.7,NA,FIELD,Sand 5
Hand,Sand,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV50,,1,9.6,NA,FIELD,Sand 6
Hand,Sand,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV52,,1,10.1,NA,FIELD,Sand 8
Hand,Fern,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV65,,1,22.6,SS,FIELD,Fern 5
Hand,Fern,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV66,,1,17.2,SS,FIELD,Fern 4
Hand,Fern,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV68,,1,13.2,SS,FIELD,Fern 7
Hand,Fern,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV70,,1,17.7,SS,FIELD,Fern 8
Hand,Leslie,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV71,,1,21.2,SS,FIELD,Leslie 3
Hand,Leslie,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV74,,1,19.5,SS,FIELD,Leslie 11
Hand,Leslie,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV76,,1,16.2,SS,FIELD,Leslie 13
Hand,Fern,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV79,,1,18.4,NS,FIELD,Fern 6
Hand,Leslie,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV81,,1,16,NS,FIELD,Leslie 6
Hand,Leslie,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV82,,1,15.6,NS,FIELD,Leslie 5
Hand,Leslie,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV83,,1,21.3,NS,FIELD,Leslie 2
Hand,Leslie,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV87,,1,16.3,NS,FIELD,Leslie 8
Hand,Leslie,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV88,,1,20.1,NS,FIELD,Leslie 4
Hand,Leslie,Unknown,Understory,2015,Araneae,Heteropoda venatoria,2015,HEV89,,1,23.8,NS,FIELD,Leslie 1
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV90,,1,14.1,SS,FIELD,East 1
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV91,,1,17.5,SS,FIELD,East 2
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV92,,1,20.5,SS,FIELD,East 3
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV93,,1,10.2,SS,FIELD,East 4
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV94,,1,14.5,SS,FIELD,East 5
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV95,,1,13.4,NS,FIELD,East 6
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV96,,1,15.9,NS,FIELD,East 7
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV97,,1,14.5,NS,FIELD,East 8
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV98,,1,22.2,NS,FIELD,East 9
Hand,Eastern,Unknown,Understory,2015,Araneae ,Heteropoda venatoria,2015,HEV99,,1,20.1,NS,FIELD,East 10
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO1,,1,19.4,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO10,,3,4.8,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO10,,3,4.7,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO10,,3,4.3,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO11,,2,6.5,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO11,,2,6.5,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO12,,2,5.8,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO12,,2,5.2,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO13,,2,6.3,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO13,,2,6,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO14,,2,6.2,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO14,,2,6.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO15,,2,6.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO15,,2,5.8,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO16,,2,6.5,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO16,,2,6.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO17,,2,6.2,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO17,,2,6.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO18,,1,8.4,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO19,,1,8.6,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO2,,1,20.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO20,,1,8.3,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO21,,1,8.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO22,,1,7.8,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO23,,1,8.2,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO24,,1,9.7,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO25,,1,9.7,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO26,,1,15,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO27,,1,15,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO30,,1,17.5,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO30,,1,17,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO31,,5,4.6,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO31,,5,4.6,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO31,,5,4.8,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO31,,5,4,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO31,,5,4.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO32,,1,9.4,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO33,,1,8.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO34,,1,9.5,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO35,,1,8.1,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO36,,1,8.7,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,7/27/17,ISO37,,1,7.8,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO4,,1,14.6,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO5,,3,4.5,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO5,,3,5.3,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO5,,3,4.5,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO6,,3,5.2,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO6,,3,5,NA,FIELD,NA
Fogging,North Fighter,PF,Canopy,2017,Scorpiones,Isometrus maculatus,8/8/17,ISO6,,3,5.8,NA,FIELD,NA
