ASV,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_736,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pseudomyrmex,s__Pseudomyrmex gracilis
ASV_115,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Evaniidae,g__Evaniella,s__Evaniella semaeoda
ASV_403,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Evaniidae,g__Evaniella,s__Evaniella semaeoda
ASV_531,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Evaniidae,g__Evaniella,s__Evaniella semaeoda
ASV_521,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Xiphydriidae,g__Xiphydria,s__Xiphydria sp. ZJUH 2008002
ASV_651,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_193,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hemiptera,f__Coccidae,g__Saissetia,s__Saissetia oleae
ASV_402,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hemiptera,,,
ASV_541,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hemiptera,,,
ASV_564,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hemiptera,,,
ASV_312,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hemiptera,,,s__Hemiptera sp. BIOUG03439-H02
ASV_28,d__Eukaryota,p__Arthropoda,c__Insecta,o__Psocoptera,f__Ectopsocidae,,s__Ectopsocidae sp. S150708
ASV_421,d__Eukaryota,p__Arthropoda,c__Insecta,o__Psocoptera,f__Liposcelididae,g__Liposcelis,s__Liposcelis bostrychophila
ASV_107,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_132,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_240,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_300,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_348,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_368,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,,,
ASV_141,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,f__Blaberidae,g__Diploptera,s__Diploptera punctata
ASV_248,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,f__Ectobiidae,,
ASV_487,d__Eukaryota,p__Arthropoda,c__Insecta,o__Blattodea,f__Blattidae,g__Periplaneta,
ASV_1,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_12,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_15,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_16,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_17,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_19,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_21,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_22,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_25,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_42,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_58,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_59,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_60,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_68,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_72,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_76,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_90,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_94,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_95,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_97,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_112,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_119,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_130,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_147,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_323,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_346,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_379,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_420,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_506,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_524,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_548,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_557,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_578,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_598,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_626,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_664,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_675,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_676,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_697,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_710,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_738,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_742,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_744,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_746,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_751,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_759,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,,,
ASV_26,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_54,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_99,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_144,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_199,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_416,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_652,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_703,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Acrididae,,
ASV_580,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Mogoplistidae,g__Ornebius,s__Ornebius novarae
ASV_653,d__Eukaryota,p__Arthropoda,c__Insecta,o__Orthoptera,f__Tettigoniidae,,
ASV_440,d__Eukaryota,p__Annelida,c__Polychaeta,o__Capitellida,f__Capitellidae,g__Dasybranchus,s__Dasybranchus sp. DH1
ASV_642,d__Eukaryota,p__Rotifera,c__Bdelloidea,,,,
