"","ID","Order","Family","Body_Length_Mean_mm"
"366","Oxya_japonica","Orthoptera","Acrididae",NA
"367","Speonemobius_tigrinus","Orthoptera","Trigonidiidae",NA
"368","Teleogryllus_oceanicus","Orthoptera","Gryllidae",NA
"369","Cyptophania_marginata","Psocodea","Lepidopsocidae",NA
"370","Echmepteryx_lunulata","Psocodea","Lepidopsocidae",NA
"371","Echmepteryx_madagascariensis","Psocodea","Lepidopsocidae",NA
"372","Ectopsocus_denervus","Psocodea","Ectopsocidae",NA
"373","Ectopsocus_spilotus","Psocodea","Ectopsocidae",NA
"374","Ectopsocus_thysanus","Psocodea","Ectopsocidae",NA
"375","Heterocaecilius_dybasi","Psocodea","Pseudocaecilidae",NA
"376","Lepidopsocus_maculatus","Psocodea","Lepidopsocidae",NA
"377","Lepidopsocus_pallidus","Psocodea","Lepidopsocidae",NA
"378","Liposcelis_sp_1","Psocodea","Liposcelididae",NA
"379","Peripsocus_sp_1","Psocodea","Peripsocidae",NA
"380","Pseudocaecilius_citricola","Psocodea","Pseudocaecilidae",NA
"381","Valenzuela_kraussi","Psocodea","Ceaciliusidae",NA
"382","Valenzuela_leuroceps","Psocodea","Ceaciliusidae",NA
"383","Silverfish","Zygentoma","Lepismatidae",NA
"384","Terrestrial_Leech","","",NA
"385","Aleurodothrips_fasciapennis","Thsysanoptera","Phlaeothripidae",NA
"386","Chaetanaphothrips_orchidii","Thsysanoptera","Thripidae",NA
"387","Haplothrips_gowdeyi","Thsysanoptera","Phlaeothripidae",NA
"388","Haplothrips_williamsi","Thsysanoptera","Phlaeothripidae",NA
"389","Karnyothrips_flavipes","Thsysanoptera","Phlaeothripidae",NA
"390","Karnyothrips_melaleucus","Thsysanoptera","Phlaeothripidae",NA
"391","Leucothrips_piercei","Thsysanoptera","Thripidae",NA
"392","Merothrips_floridensis","Thsysanoptera","Merothripidae",NA
"393","Projectothrips_palmyrae","Thsysanoptera","Thripidae",NA
"394","Selenothrips_rubrocinctus","Thsysanoptera","Thripidae",NA
"395","Thrips_hawaiiensis","Thsysanoptera","Thripidae",NA
